target,variable_type,target_mode,equation,sympy_format,complexity,loss,score,holdout_r2,holdout_mae,baseline_holdout_mae,residual_tail_ratio,residual_p99,residual_median,selection_reason,pareto_csv
L_T1,sensor,sensors_delta_actuators_next,1.8686935 - (F_PU1 * 0.018506974),1.8686935 - 0.018506974*F_PU1,5.0,0.020684717,0.4254906472301026,0.6093587973932503,0.1201346588336446,0.195285534205502,3.244204205195968,0.3321733134404981,0.1023897672373657,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/L_T1_sensors_delta_actuators_next/pareto_front_scored.csv
L_T2,sensor,sensors_delta_actuators_next,S_V2 + -0.72968316,S_V2 - 0.72968316,3.0,0.07876621,0.4959860627738722,0.632936268354455,0.2250729386837903,0.379075221173023,3.732353894856496,0.729684590511475,0.1955025196075439,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/L_T2_sensors_delta_actuators_next/pareto_front_scored.csv
L_T3,sensor,sensors_delta_actuators_next,S_PU4 + -0.42284378,S_PU4 - 0.42284378,3.0,0.05136279,0.5163577927479323,0.6321404097285922,0.1607360499421507,0.3576700373055184,6.739640483762224,0.7881754814169981,0.1169462203979492,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/L_T3_sensors_delta_actuators_next/pareto_front_scored.csv
L_T4,sensor,sensors_delta_actuators_next,S_PU7 + -0.84582573,S_PU7 - 0.84582573,3.0,0.14333263,0.2030112335591935,0.3257127413159715,0.2692527208391226,0.3324760555132339,6.371372590297157,1.2681560739697328,0.1990396976470947,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/L_T4_sensors_delta_actuators_next/pareto_front_scored.csv
L_T5,sensor,sensors_delta_actuators_next,S_PU8 - 0.59500045,S_PU8 - 1*0.59500045,3.0,0.07951252,0.5447463400562016,0.685879515619207,0.1845491598325407,0.4515190657959681,8.380097876748787,1.0050903147308348,0.119937777519226,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/L_T5_sensors_delta_actuators_next/pareto_front_scored.csv
L_T6,sensor,sensors_delta_actuators_next,(((F_PU10 * 0.0019019584) - 0.66192394) * L_T6) + 3.2965274,L_T6*(F_PU10*0.0019019584 - 1*0.66192394) + 3.2965274,9.0,0.0070572225,0.2489484643429522,0.7529223806150133,0.056866314578395,0.1037271112611849,8.247569803249679,0.2762773407338507,0.0334980300045466,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/L_T6_sensors_delta_actuators_next/pareto_front_scored.csv
L_T7,sensor,sensors_delta_actuators_next,S_PU10 + -0.8130216,S_PU10 - 0.8130216,3.0,0.26933625,0.2649085472280736,0.436510137113216,0.3779208442453758,0.4966634475205043,4.764389946880226,1.4544103453079218,0.3052668571472168,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/L_T7_sensors_delta_actuators_next/pareto_front_scored.csv
F_PU1,sensor,sensors_delta_actuators_next,L_T1 + -2.669119,L_T1 - 2.669119,3.0,20.726383,0.0478842950071564,0.0972700631336387,2.138438912229037,1.852568953004602,16.854562537239392,21.54623689524452,1.278362274169922,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/F_PU1_sensors_delta_actuators_next/pareto_front_scored.csv
F_PU2,sensor,sensors_delta_actuators_next,32.344326 - P_J269,32.344326 - P_J269,3.0,327.8782,0.0459598781073133,0.0909540858015235,7.670337496632406,4.398262759866236,23.809450915382808,87.59544485113526,3.6790199472656298,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/F_PU2_sensors_delta_actuators_next/pareto_front_scored.csv
F_PU3,sensor,sensors_delta_actuators_next,F_PU9 * P_J307,F_PU9*P_J307,3.0,0.0,,-inf,0.0,0.0,0.0,0.0,0.0,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/F_PU3_sensors_delta_actuators_next/pareto_front_scored.csv
F_PU4,sensor,sensors_delta_actuators_next,((4.6241565 - L_T3) - S_PU4) * 13.384675,(-L_T3 - S_PU4 + 4.6241565)*13.384675,7.0,91.50555,0.201033251644239,0.5446333719077499,7.983254380857127,6.070145397970121,2.688626587636136,19.39976306997009,7.215491790188139,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/F_PU4_sensors_delta_actuators_next/pareto_front_scored.csv
F_PU5,sensor,sensors_delta_actuators_next,S_PU9 * S_PU2,S_PU2*S_PU9,3.0,0.0,,-inf,0.0,0.0,0.0,0.0,0.0,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/F_PU5_sensors_delta_actuators_next/pareto_front_scored.csv
F_PU6,sensor,sensors_delta_actuators_next,F_PU6 * (2.2838569 - L_T4),F_PU6*(2.2838569 - L_T4),5.0,1.3366514,0.1495016709858302,0.4844765933854978,0.0233689840554125,0.0420584613329743,0.0,0.0,0.0,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/F_PU6_sensors_delta_actuators_next/pareto_front_scored.csv
F_PU7,sensor,sensors_delta_actuators_next,179.15039 - (P_J415 * 2.1654422),179.15039 - 2.1654422*P_J415,5.0,250.60643,0.1193683042043534,0.5182360113254362,10.931857564381266,10.760185291778008,6.319580116223318,41.60075682956422,6.5828355783905295,highest_score_among_stable_state_dependent_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/F_PU7_sensors_delta_actuators_next/pareto_front_scored.csv
F_PU8,sensor,sensors_delta_actuators_next,(L_T5 * -9.125824) + P_J302,L_T5*(-9.125824) + P_J302,5.0,140.63126,0.1386870676795475,0.4162477854967843,8.844467081451704,7.202500188731712,4.905129978910936,30.077004417018884,6.13174463191223,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/F_PU8_sensors_delta_actuators_next/pareto_front_scored.csv
F_PU9,sensor,sensors_delta_actuators_next,L_T5 * S_PU9,L_T5*S_PU9,3.0,0.0,,-inf,0.0,0.0,0.0,0.0,0.0,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/F_PU9_sensors_delta_actuators_next/pareto_front_scored.csv
F_PU10,sensor,sensors_delta_actuators_next,67.918335 - P_J317,67.918335 - P_J317,3.0,118.75012,0.2687275486966349,0.4207353982667733,6.74616232158957,6.895837517089495,10.887690963587426,26.96053716751098,2.476240119018556,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/F_PU10_sensors_delta_actuators_next/pareto_front_scored.csv
F_PU11,sensor,sensors_delta_actuators_next,S_PU11 * -11.974902,S_PU11*(-11.974902),3.0,0.20942,0.1649437904361765,-inf,0.0,0.0,0.0,0.0,0.0,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/F_PU11_sensors_delta_actuators_next/pareto_front_scored.csv
F_V2,sensor,sensors_delta_actuators_next,L_T1 * (27.4687 - P_J300),L_T1*(27.4687 - P_J300),5.0,441.80264,0.06992669480627,0.2197171781105587,12.462343224988064,10.262235271331926,13.092326519326404,83.26109061888553,6.359533616579041,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/F_V2_sensors_delta_actuators_next/pareto_front_scored.csv
P_J280,sensor,sensors_delta_actuators_next,(P_J269 * 0.00016494594) + -0.00533504,P_J269*0.00016494594 - 0.00533504,5.0,7.5441985e-06,0.0438745831858498,0.0973089162176404,0.0012776623802603,0.0009265141944362,19.167874636101565,0.0134790112891993,0.0007032084435596,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/P_J280_sensors_delta_actuators_next/pareto_front_scored.csv
P_J269,sensor,sensors_delta_actuators_next,S_V2 - S_PU2,-S_PU2 + S_V2,3.0,6.404771,0.0402681101454826,0.0757973919665496,1.1707274336793108,1.0147148506826462,21.918450899227214,11.836652450561523,0.5400314331054688,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/P_J269_sensors_delta_actuators_next/pareto_front_scored.csv
P_J300,sensor,sensors_delta_actuators_next,(L_T3 + S_PU7) - 5.046983,L_T3 + S_PU7 - 1*5.046983,5.0,2.2073972,0.0916583568580351,0.2728265172648882,1.0301728346085484,1.1519394966020975,7.331990825926955,4.558761419598999,0.6217631101608276,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/P_J300_sensors_delta_actuators_next/pareto_front_scored.csv
