target,variable_type,target_mode,equation,sympy_format,complexity,loss,score,holdout_r2,holdout_mae,baseline_holdout_mae,residual_tail_ratio,residual_p99,residual_median,selection_reason,pareto_csv
P1_B2004,sensor,sensors_delta_discrete_persistence,0.0008059687 - (P4_ST_PT01 * 8.025494e-8),0.0008059687 - 8.025494e-8*P4_ST_PT01,5.0,6.015967e-09,7.044425064381793e-05,0.00027341234378341905,2.8321600848093398e-06,1.7936740833748546e-06,6.579861623183641,5.488998340005824e-06,8.342118199972104e-07,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P1_B2004_sensors_delta_discrete_persistence/pareto_front_scored.csv
P1_B2016,sensor,sensors_delta_discrete_persistence,(P4_ST_LD - P4_ST_PO) * 0.00039466005,(P4_ST_LD - P4_ST_PO)*0.00039466005,5.0,2.6108408e-05,0.2771169545239255,0.5972095873743568,0.0028859639736559467,0.004605715547222644,4.684348803214179,0.010913503488307854,0.002329780284683225,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P1_B2016_sensors_delta_discrete_persistence/pareto_front_scored.csv
P1_B3004,sensor,sensors_delta_discrete_persistence,0.0023591975 - P4_HT_FD,0.0023591975 - P4_HT_FD,3.0,0.011613084,0.0003281427445698,-0.002278184840638131,0.0046363533762917054,0.001946381562285953,4.602745351630876,0.011549197162366909,0.002509197507151839,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P1_B3004_sensors_delta_discrete_persistence/pareto_front_scored.csv
P1_B3005,sensor,sensors_delta_discrete_persistence,P4_ST_FD * -3.3483922,P4_ST_FD*(-3.3483922),3.0,0.06950271,0.0001566599929954,-0.000333113443589772,0.010189896045853939,0.005919494231541951,4.5841582491856245,0.015503055433555346,0.0033818761462498514,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P1_B3005_sensors_delta_discrete_persistence/pareto_front_scored.csv
P1_B4002,sensor,sensors_delta_discrete_persistence,P1_B2004 * P4_ST_FD,P1_B2004*P4_ST_FD,3.0,5.33373e-06,0.001699201597326,-0.02623423475934783,0.00015097004610501187,3.0240996016396416e-05,4.730340327076555,0.0004484759954124229,9.480839948139419e-05,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P1_B4002_sensors_delta_discrete_persistence/pareto_front_scored.csv
P1_B4005,sensor,sensors_delta_discrete_persistence,(P4_ST_LD * 0.0004038507) - 0.13435102,P4_ST_LD*0.0004038507 - 1*0.13435102,5.0,0.0012893095,0.0726139089687211,0.1870993569212801,0.025158400583395066,0.02350065808638876,8.997087644715723,0.1256254064677435,0.013962896820453596,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P1_B4005_sensors_delta_discrete_persistence/pareto_front_scored.csv
P1_B400B,sensor,sensors_delta_discrete_persistence,(P1_FT02Z - P1_B400B) * 0.6535906,(P1_FT02Z - P1_B400B)*0.6535906,5.0,212.56813,0.2228919912634236,0.6646054477491173,7.364081771289499,13.438955011549924,24.449423154235166,67.2896728515625,2.7521987912384134,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P1_B400B_sensors_delta_discrete_persistence/pareto_front_scored.csv
P1_B4022,sensor,sensors_delta_discrete_persistence,(P4_ST_LD - P4_ST_PO) * 0.001005678,(P4_ST_LD - P4_ST_PO)*0.001005678,5.0,0.00016068658,0.2886171344682674,0.5968813002567809,0.007223028791098243,0.011529035514427556,4.716670671660371,0.02745812919597242,0.005821506547182054,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P1_B4022_sensors_delta_discrete_persistence/pareto_front_scored.csv
P1_FCV01D,sensor,sensors_delta_discrete_persistence,(P1_FT02Z - P1_B400B) * -0.0065445863,(P1_FT02Z - P1_B400B)*(-0.0065445863),5.0,0.12621169,0.1565962740335048,0.26118203767364057,0.17020227645630392,0.18304836504988264,35.54003590427711,1.452859065748006,0.040879504727038274,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P1_FCV01D_sensors_delta_discrete_persistence/pareto_front_scored.csv
P1_FCV01Z,sensor,sensors_delta_discrete_persistence,(P1_B4002 - 0.7087669) * ((P1_B4002 * 0.00023779471) * (P1_FCV01D - P1_FCV01Z)),(P1_B4002 - 1*0.7087669)*P1_B4002*0.00023779471*(P1_FCV01D - P1_FCV01Z),11.0,0.13005227,0.0560302243663085,0.3671888230608187,0.21521024173711634,0.16310183962745617,18.75003364920745,1.3352105287396654,0.07121110040227069,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P1_FCV01Z_sensors_delta_discrete_persistence/pareto_front_scored.csv
