variable,unique_value_count,min,max,unchanged_step_fraction,transition_count,missing_count,nonfinite_count,inferred_type,selected_model,reason
P1_B2004,779,0.02978000044822693,0.10196000337600708,0.9985850694444445,1304,0,0,continuous,symbolic,selected_for_monitoring
P1_B2016,73747,0.9472900032997131,2.052299976348877,0.012662760416666667,909930,0,0,continuous,symbolic,selected_for_monitoring
P1_B3004,1405,369.7560119628906,447.8343811035156,0.9984787326388889,1402,0,0,continuous,symbolic,selected_for_monitoring
P1_B3005,1406,890.0784301757812,1121.941162109375,0.9984765625,1404,0,0,continuous,symbolic,selected_for_monitoring
P1_B4002,828,31.413429260253906,33.65549850463867,0.9990288628472223,895,0,0,continuous,symbolic,selected_for_monitoring
P1_B4005,396519,0.0,100.0,0.532578125,430776,0,0,continuous,symbolic,selected_for_monitoring
P1_B400B,15408,25.02597999572754,2857.545654296875,0.039020182291666664,885639,0,0,continuous,symbolic,selected_for_monitoring
P1_B4022,109923,34.20232009887695,38.65092849731445,0.012662760416666667,909930,0,0,continuous,symbolic,selected_for_monitoring
P1_FCV01D,397300,0.0,100.0,0.5340462239583333,429423,0,0,continuous,symbolic,selected_for_monitoring
P1_FCV01Z,85977,0.26093000173568726,100.0,0.5179535590277777,444254,0,0,continuous,symbolic,selected_for_monitoring
P1_FCV02D,20925,0.0,100.0,0.9490950520833333,46914,0,0,continuous,symbolic,selected_for_monitoring
P1_FCV02Z,12443,-1.8981900215148926,97.38311767578125,0.7120985243055555,265330,0,0,continuous,symbolic,selected_for_monitoring
P1_FCV03D,667967,45.71051025390625,74.1862564086914,0.0017523871527777778,919985,0,0,continuous,symbolic,selected_for_monitoring
P1_FCV03Z,4839,46.17462158203125,75.37230682373047,0.7914398871527778,192209,0,0,continuous,symbolic,selected_for_monitoring
P1_FT01,5950,-15.602129936218262,473.06060791015625,0.038104383680555555,886483,0,0,continuous,symbolic,selected_for_monitoring
P1_FT01Z,5757,0.0,1381.9573974609375,0.038248697916666664,886350,0,0,continuous,symbolic,selected_for_monitoring
P1_FT02,15738,4.806529998779297,2006.5689697265625,0.03867296006944444,885959,0,0,continuous,symbolic,selected_for_monitoring
P1_FT02Z,15235,25.02597999572754,2857.545654296875,0.0388671875,885780,0,0,continuous,symbolic,selected_for_monitoring
P1_FT03,5010,187.14901733398438,332.87042236328125,0.14046006944444445,792152,0,0,continuous,symbolic,selected_for_monitoring
P1_FT03Z,4390,865.6997680664062,1147.559326171875,0.14066948784722222,791959,0,0,continuous,symbolic,selected_for_monitoring
P1_LCV01D,509362,2.1225099563598633,28.336339950561523,0.0014246961805555556,920287,0,0,continuous,symbolic,selected_for_monitoring
P1_LCV01Z,3202,0.28380998969078064,28.535459518432617,0.7918467881944444,191834,0,0,continuous,symbolic,selected_for_monitoring
P1_LIT01,6145,355.98858642578125,459.44927978515625,0.18153971354166668,754293,0,0,continuous,symbolic,selected_for_monitoring
P1_PCV01D,780359,24.897279739379883,100.0,0.08362955729166667,844527,0,0,continuous,symbolic,selected_for_monitoring
P1_PCV01Z,77535,25.537109375,100.0,0.5244021267361111,438311,0,0,continuous,symbolic,selected_for_monitoring
P1_PCV02D,1,12.0,12.0,1.0,0,0,0,constant,excluded,constant_or_no_observed_transition
P1_PCV02Z,98,11.766050338745117,12.04071044921875,0.8638899739583333,125439,0,0,continuous,excluded,row=2:tail_ratio>50:323; row=3:tail_ratio>50:828.9; row=1:tail_ratio>50:9028; row=5:tail_ratio>50:447.4; row=4:tail_ratio>50:742.2; row=0:tail_ratio>50:4343
P1_PIT01,2928,0.8691400289535522,2.395780086517334,0.30294596354166664,642405,0,0,continuous,symbolic,selected_for_monitoring
P1_PIT02,5150,0.1702899932861328,2.346950054168701,0.20036566840277778,736943,0,0,continuous,excluded,row=2:tail_ratio>50:73.64; row=3:tail_ratio>50:98.15; row=5:tail_ratio>50:63.39; row=1:tail_ratio>50:123.5; row=4:tail_ratio>50:89.52; row=0:tail_ratio>50:190.2
P1_PP01AD,1,540833.0,540833.0,1.0,0,0,0,constant,excluded,constant_or_no_observed_transition
P1_PP01AR,1,540833.0,540833.0,1.0,0,0,0,constant,excluded,constant_or_no_observed_transition
P1_PP01BD,1,0.0,0.0,1.0,0,0,0,constant,excluded,constant_or_no_observed_transition
P1_PP01BR,1,0.0,0.0,1.0,0,0,0,constant,excluded,constant_or_no_observed_transition
P1_PP02D,1,1.0,1.0,1.0,0,0,0,constant,excluded,constant_or_no_observed_transition
P1_PP02R,1,1.0,1.0,1.0,0,0,0,constant,excluded,constant_or_no_observed_transition
P1_STSP,1,1.0,1.0,1.0,0,0,0,constant,excluded,constant_or_no_observed_transition
P1_TIT01,904,34.6893310546875,36.9476318359375,0.4312326388888889,524176,0,0,continuous,symbolic,selected_for_monitoring
P1_TIT02,1677,34.979251861572266,40.441898345947266,0.4322330729166667,523254,0,0,continuous,symbolic,selected_for_monitoring
P2_24Vdc,509,28.012540817260742,28.046419143676758,0.03922634548611111,885449,0,0,continuous,symbolic,selected_for_monitoring
P2_ASD,1,0.0,0.0,1.0,0,0,0,constant,excluded,constant_or_no_observed_transition
P2_AutoGO,1,1.0,1.0,1.0,0,0,0,constant,excluded,constant_or_no_observed_transition
P2_CO_rpm,353,53951.0,54215.0,0.06662760416666667,860196,0,0,continuous,symbolic,selected_for_monitoring
P2_Emerg,1,0.0,0.0,1.0,0,0,0,constant,excluded,constant_or_no_observed_transition
P2_HILout,7997,653.759765625,775.164794921875,0.024453125,899064,0,0,continuous,symbolic,selected_for_monitoring
P2_MSD,1,763.1932373046875,763.1932373046875,1.0,0,0,0,constant,excluded,constant_or_no_observed_transition
P2_ManualGO,1,0.0,0.0,1.0,0,0,0,constant,excluded,constant_or_no_observed_transition
P2_OnOff,1,1.0,1.0,1.0,0,0,0,constant,excluded,constant_or_no_observed_transition
P2_RTR,1,2880.0,2880.0,1.0,0,0,0,constant,excluded,constant_or_no_observed_transition
P2_SIT01,134,749.0,828.0,0.16593967013888888,768670,0,0,continuous,symbolic,selected_for_monitoring
P2_SIT02,48524,748.9337158203125,828.2213745117188,0.017041015625,905895,0,0,continuous,symbolic,selected_for_monitoring
P2_TripEx,1,1.0,1.0,1.0,0,0,0,constant,excluded,constant_or_no_observed_transition
P2_VT01,28782,11.760470390319824,12.062939643859863,0.016920572916666668,906006,0,0,continuous,symbolic,selected_for_monitoring
P2_VTR01,1,10.0,10.0,1.0,0,0,0,constant,excluded,constant_or_no_observed_transition
P2_VTR02,1,10.0,10.0,1.0,0,0,0,constant,excluded,constant_or_no_observed_transition
P2_VTR03,1,10.0,10.0,1.0,0,0,0,constant,excluded,constant_or_no_observed_transition
P2_VTR04,1,10.0,10.0,1.0,0,0,0,constant,excluded,constant_or_no_observed_transition
P2_VXT02,23042,-4.400899887084961,-1.7733999490737915,0.01701714409722222,905917,0,0,continuous,symbolic,selected_for_monitoring
P2_VXT03,20231,-2.1603000164031982,0.24449999630451202,0.01713650173611111,905807,0,0,continuous,symbolic,selected_for_monitoring
P2_VYT02,25483,2.4161999225616455,5.156000137329102,0.01701931423611111,905915,0,0,continuous,symbolic,selected_for_monitoring
P2_VYT03,22983,4.514900207519531,7.300600051879883,0.017081163194444443,905858,0,0,continuous,symbolic,selected_for_monitoring
P3_FIT01,5772,-27.0,5443.0,0.3507758246527778,598325,0,0,continuous,symbolic,selected_for_monitoring
P3_LCP01D,2161,-8.0,13816.0,0.2744259982638889,668689,0,0,continuous,symbolic,selected_for_monitoring
P3_LCV01D,1531,-288.0,18416.0,0.2837771267361111,660071,0,0,continuous,symbolic,selected_for_monitoring
P3_LH,1,70.0,70.0,1.0,0,0,0,constant,excluded,constant_or_no_observed_transition
P3_LIT01,11943,5047.0,19730.0,0.06712239583333333,859740,0,0,continuous,symbolic,selected_for_monitoring
P3_LL,1,20.0,20.0,1.0,0,0,0,constant,excluded,constant_or_no_observed_transition
P3_PIT01,4137,-24.0,3871.0,0.5240125868055555,438670,0,0,continuous,excluded,row=3:tail_ratio>50:181.7; row=2:tail_ratio>50:100.5; row=1:tail_ratio>50:255.7; row=4:tail_ratio>50:119.7; row=5:tail_ratio>50:136.9; row=0:tail_ratio>50:231.5
P4_HT_FD,751,-0.049619998782873154,0.03551999852061272,0.5333778211805555,430039,0,0,continuous,symbolic,selected_for_monitoring
P4_HT_LD,9413,-0.007230000104755163,83.10183715820312,0.3648404947916667,585363,0,0,continuous,symbolic,selected_for_monitoring
P4_HT_PO,4243,0.05423000082373619,86.71514892578125,0.2802864583333333,663288,0,0,continuous,symbolic,selected_for_monitoring
P4_HT_PS,2,0.0,10.0,0.9999826388888889,16,0,0,discrete,persistence,selected_for_monitoring
P4_LD,12327,231.13787841796875,499.764892578125,0.006890190972222222,915250,0,0,continuous,symbolic,selected_for_monitoring
P4_ST_FD,447,-0.05243999883532524,0.05034999921917915,0.016988932291666668,905943,0,0,continuous,symbolic,selected_for_monitoring
P4_ST_GOV,14021,12625.0,26927.0,0.0052126736111111115,916796,0,0,continuous,symbolic,selected_for_monitoring
P4_ST_LD,11847,229.87200927734375,499.62017822265625,0.007485894097222222,914701,0,0,continuous,symbolic,selected_for_monitoring
P4_ST_PO,14744,233.56121826171875,498.86065673828125,0.006115451388888889,915964,0,0,continuous,symbolic,selected_for_monitoring
P4_ST_PS,2,0.0,50.0,0.9999826388888889,16,0,0,discrete,persistence,selected_for_monitoring
P4_ST_PT01,362,9914.0,10330.0,0.6668717447916667,307011,0,0,continuous,symbolic,selected_for_monitoring
P4_ST_TT01,211,27530.0,27629.0,0.4662445746527778,491909,0,0,continuous,symbolic,selected_for_monitoring
