target,variable_type,target_mode,equation,sympy_format,complexity,loss,score,holdout_r2,holdout_mae,baseline_holdout_mae,residual_tail_ratio,residual_p99,residual_median,selection_reason,pareto_csv
1_AIT_002_PV,sensor,sensors_delta_actuators_next,(1_AIT_002_PV * -0.024456225) + 0.015310581,0.015310581 + 1_AIT_002_PV*(-0.024456225),5.0,0.0001905391,0.0059377861699974,0.011904494861920245,0.004213899125590036,0.003380437011746739,41.76728087722982,0.0484460271833671,0.0011599037851127703,highest_score_among_stable_candidates,artifacts/experiments/seed3/wadi_seed1/pareto_fronts/1_AIT_002_PV_sensors_delta_actuators_next/pareto_front_scored.csv
1_AIT_004_PV,sensor,sensors_delta_actuators_next,(2_MV_003_STATUS + -1.4291056) * 0.1198136,(2_MV_003_STATUS - 1.4291056)*0.1198136,5.0,12.555347,8.390143357344038e-05,8.325948505749636e-06,0.08585265230382821,0.03447055248987107,4.053183318227384,0.20838504414319914,0.05141268671616217,highest_score_among_stable_candidates,artifacts/experiments/seed3/wadi_seed1/pareto_fronts/1_AIT_004_PV_sensors_delta_actuators_next/pareto_front_scored.csv
1_AIT_005_PV,sensor,sensors_delta_actuators_next,(1_FIT_001_PV * -3.957114e-5) - -2.294511e-5,1_FIT_001_PV*(-3.957114e-5) - 1*(-2.294511e-5),5.0,2.9068943e-07,0.0006288154702213,0.0023607049330970353,7.576152702589242e-05,4.978034394009719e-05,14.051274005053491,0.00032181081242501437,2.2902607429708954e-05,highest_score_among_stable_candidates,artifacts/experiments/seed3/wadi_seed1/pareto_fronts/1_AIT_005_PV_sensors_delta_actuators_next/pareto_front_scored.csv
1_LS_001_AL,sensor,sensors_delta_actuators_next,3_P_003_STATUS * 1_LS_001_AL,3_P_003_STATUS*1_LS_001_AL,3.0,0.0,,-inf,0.0,0.0,0.0,0.0,0.0,highest_score_among_stable_candidates,artifacts/experiments/seed3/wadi_seed1/pareto_fronts/1_LS_001_AL_sensors_delta_actuators_next/pareto_front_scored.csv
1_LS_002_AL,sensor,sensors_delta_actuators_next,2_FIT_003_PV * 1_LS_001_AL,2_FIT_003_PV*1_LS_001_AL,3.0,0.0,,-inf,0.0,0.0,0.0,0.0,0.0,highest_score_among_stable_candidates,artifacts/experiments/seed3/wadi_seed1/pareto_fronts/1_LS_002_AL_sensors_delta_actuators_next/pareto_front_scored.csv
2_DPIT_001_PV,sensor,sensors_delta_actuators_next,(2_DPIT_001_PV * -0.047146786) - -117.705536,2_DPIT_001_PV*(-0.047146786) - 1*(-117.705536),5.0,2922.75,0.0059355979708941,0.013427168926559707,4.446718756137462,1.5891186895193876,9.958397600765194,27.464227954610806,2.7578963057771944,highest_score_among_stable_candidates,artifacts/experiments/seed3/wadi_seed1/pareto_fronts/2_DPIT_001_PV_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIC_101_CO,sensor,sensors_delta_actuators_next,2_FQ_101_PV * -0.3401595,2_FQ_101_PV*(-0.3401595),3.0,0.45188275,0.005974253508957,0.015032448120936737,0.08101111166234556,0.04305112187272657,34.12018405916815,0.830217965556534,0.024332165504056036,highest_score_among_stable_candidates,artifacts/experiments/seed3/wadi_seed1/pareto_fronts/2_FIC_101_CO_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIC_101_PV,sensor,sensors_delta_actuators_next,2_FIC_101_PV * -0.016046898,2_FIC_101_PV*(-0.016046898),3.0,0.0017537094,0.0034165481424371,0.0022527558034448614,0.0031059140683200245,0.001303500474077063,18.49348773225597,0.01591772007779968,0.0008607202875007894,highest_score_among_stable_candidates,artifacts/experiments/seed3/wadi_seed1/pareto_fronts/2_FIC_101_PV_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIC_101_SP,sensor,sensors_delta_actuators_next,(((2_MV_401_STATUS * -0.026244804) * ((1_P_005_STATUS - 2_MV_003_STATUS) * 3_AIT_001_PV)) * 1_FIT_001_PV) * 2_MV_401_STATUS,2_MV_401_STATUS*(-0.026244804)*(1_P_005_STATUS - 2_MV_003_STATUS)*3_AIT_001_PV*1_FIT_001_PV*2_MV_401_STATUS,13.0,1.0128468e-06,0.0247080385651819,-9.112138177336249e-08,1.7650462760930025e-05,1.7650462760930025e-05,0.0,0.0,0.0,highest_score_among_stable_candidates,artifacts/experiments/seed3/wadi_seed1/pareto_fronts/2_FIC_101_SP_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIC_201_CO,sensor,sensors_delta_actuators_next,2_FQ_201_PV * -0.25972125,2_FQ_201_PV*(-0.25972125),3.0,0.18943079,0.0059188500865977,0.011499609868869998,0.05635066182214701,0.03018756135903969,41.37192284516475,0.6583413873190603,0.015912757784619203,highest_score_among_stable_candidates,artifacts/experiments/seed3/wadi_seed1/pareto_fronts/2_FIC_201_CO_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIC_201_PV,sensor,sensors_delta_actuators_next,(2_FQ_401_PV * 2_FIC_201_PV) * (-0.041137513 - 2_LS_201_AH),2_FIC_201_PV*2_FQ_401_PV*(-2_LS_201_AH - 0.041137513),7.0,0.0008877894,0.0154935589492301,0.0020606838609413813,0.0016434773834032993,0.0008561987114565757,39.26287319504698,0.01205620180438538,0.0003070636665965208,highest_score_among_stable_candidates,artifacts/experiments/seed3/wadi_seed1/pareto_fronts/2_FIC_201_PV_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIC_201_SP,sensor,sensors_delta_actuators_next,(2_MV_601_STATUS - 2_MV_003_STATUS) * (((1_P_003_STATUS - 2_MV_003_STATUS) * (3_AIT_001_PV * -0.000551657)) * 2_MCV_501_CO),(-2_MV_003_STATUS + 2_MV_601_STATUS)*(1_P_003_STATUS - 2_MV_003_STATUS)*3_AIT_001_PV*(-0.000551657)*2_MCV_501_CO,13.0,3.6812042e-07,0.0328010114934197,-4.4565234613713756e-07,1.868899662799373e-05,1.8683861893054747e-05,0.0,0.0,0.0,highest_score_among_stable_candidates,artifacts/experiments/seed3/wadi_seed1/pareto_fronts/2_FIC_201_SP_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIC_301_PV,sensor,sensors_delta_actuators_next,2_FIC_601_PV * -0.009514792,2_FIC_601_PV*(-0.009514792),3.0,0.0005157062,0.0029510022729497,-0.003678906387172942,0.0015334142391222336,0.0006560761124270145,17.74641417421126,0.00846369422492804,0.000476924191098127,highest_score_among_stable_candidates,artifacts/experiments/seed3/wadi_seed1/pareto_fronts/2_FIC_301_PV_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIC_301_SP,sensor,sensors_delta_actuators_next,(2_LS_201_AH * 1.4012664e-7) * ((1_FIT_001_PV * 3_AIT_004_PV) * 2_FIC_501_CO),2_LS_201_AH*1.4012664e-7*1_FIT_001_PV*3_AIT_004_PV*2_FIC_501_CO,9.0,3.6690096e-06,0.0186221902149725,-0.02130964716913164,3.1515392734002395e-05,2.6207009703660057e-05,0.0,0.0,0.0,highest_score_among_stable_candidates,artifacts/experiments/seed3/wadi_seed1/pareto_fronts/2_FIC_301_SP_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIC_401_CO,sensor,sensors_delta_actuators_next,2_FQ_401_PV * -0.28795922,2_FQ_401_PV*(-0.28795922),3.0,0.5246867,0.0035416433530184,0.006845534709116197,0.0807972318256539,0.0467282564591163,31.5950014266447,0.8774699378252341,0.027772429124983233,highest_score_among_stable_candidates,artifacts/experiments/seed3/wadi_seed1/pareto_fronts/2_FIC_401_CO_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIC_401_PV,sensor,sensors_delta_actuators_next,2_FIC_401_PV * -0.01313242,2_FIC_401_PV*(-0.01313242),3.0,0.002241327,0.0017558712783341,0.00736717585423341,0.00315564316713519,0.0015746874191718812,11.077855207355443,0.013321921425762273,0.0012025722647933529,highest_score_among_stable_candidates,artifacts/experiments/seed3/wadi_seed1/pareto_fronts/2_FIC_401_PV_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIC_401_SP,sensor,sensors_delta_actuators_next,(1_P_005_STATUS - 2_MV_003_STATUS) * ((2_MCV_501_CO * 0.0059069954) * 3_AIT_001_PV),(1_P_005_STATUS - 2_MV_003_STATUS)*2_MCV_501_CO*0.0059069954*3_AIT_001_PV,9.0,5.986571e-06,0.0296558323767216,-2.5924091762163926e-09,2.0667989048416968e-05,2.0667989048416968e-05,0.0,0.0,0.0,highest_score_among_stable_candidates,artifacts/experiments/seed3/wadi_seed1/pareto_fronts/2_FIC_401_SP_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIC_501_PV,sensor,sensors_delta_actuators_next,2_FIC_501_PV * -0.019195607,2_FIC_501_PV*(-0.019195607),3.0,0.0015614973,0.0044237678864725,-0.008057890440776427,0.0027557573188395634,0.0007605593665161111,13.1107285291195,0.012784628545722045,0.0009751272415813375,highest_score_among_stable_candidates,artifacts/experiments/seed3/wadi_seed1/pareto_fronts/2_FIC_501_PV_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIC_601_CO,sensor,sensors_delta_actuators_next,2_FQ_601_PV * -0.33064598,2_FQ_601_PV*(-0.33064598),3.0,0.28533113,0.006367693768673,-0.0035299757484932304,0.05154764201155152,0.022038398213960506,38.14099521812516,0.6316403957818452,0.016560668964444858,highest_score_among_stable_candidates,artifacts/experiments/seed3/wadi_seed1/pareto_fronts/2_FIC_601_CO_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIC_601_PV,sensor,sensors_delta_actuators_next,2_FIC_601_PV * -0.015913965,2_FIC_601_PV*(-0.015913965),3.0,0.0012241557,0.00363449696736,-0.005489219691614755,0.002188473495252796,0.000751389108802113,19.982382554581356,0.015438785125034908,0.0007726198356409336,highest_score_among_stable_candidates,artifacts/experiments/seed3/wadi_seed1/pareto_fronts/2_FIC_601_PV_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIC_601_SP,sensor,sensors_delta_actuators_next,(3_AIT_001_PV * -0.001897689) * ((1_P_005_STATUS - 2_MV_003_STATUS) * 2_MCV_501_CO),3_AIT_001_PV*(-0.001897689)*(1_P_005_STATUS - 2_MV_003_STATUS)*2_MCV_501_CO,9.0,1.1925143e-06,0.0157894490997561,-6.51345199997877e-09,2.6868385381050525e-05,2.6868385381050525e-05,0.0,0.0,0.0,highest_score_among_stable_candidates,artifacts/experiments/seed3/wadi_seed1/pareto_fronts/2_FIC_601_SP_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIT_001_PV,sensor,sensors_delta_actuators_next,(2_MV_003_STATUS - 2_FIT_001_PV) * 0.021082336,(-2_FIT_001_PV + 2_MV_003_STATUS)*0.021082336,5.0,0.016133241,0.0070313291125419,-0.027273722892020347,0.02103267988727212,0.00362316727100403,1.6244499683380171,0.03424720004769144,0.021082336,highest_score_among_stable_candidates,artifacts/experiments/seed3/wadi_seed1/pareto_fronts/2_FIT_001_PV_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIT_002_PV,sensor,sensors_delta_actuators_next,2_FQ_101_PV * -0.010028154,2_FQ_101_PV*(-0.010028154),3.0,0.00033508317,0.0069427932621757,-0.0013638853107926785,0.0021145313960523084,0.0008990392724936052,19.483245754629873,0.016699720847864804,0.000857132382262149,highest_score_among_stable_candidates,artifacts/experiments/seed3/wadi_seed1/pareto_fronts/2_FIT_002_PV_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIT_003_PV,sensor,sensors_delta_actuators_next,2_FIT_002_PV * 2_PIC_003_PV,2_FIT_002_PV*2_PIC_003_PV,3.0,0.015392132,0.011137917681126,0.05533701288659676,0.010690213102705948,0.0035503504322332733,4.825827196131465,0.03474007129669199,0.007198780620354728,highest_score_among_stable_candidates,artifacts/experiments/seed3/wadi_seed1/pareto_fronts/2_FIT_003_PV_sensors_delta_actuators_next/pareto_front_scored.csv
2_FQ_101_PV,sensor,sensors_delta_actuators_next,2_FIC_101_PV * -0.014620061,2_FIC_101_PV*(-0.014620061),3.0,0.0019443887,0.0025331366030726,0.0034213519293928574,0.0029326558964900694,0.0012954136886046928,19.46863961112925,0.015267071446373912,0.0007841878914665659,highest_score_among_stable_candidates,artifacts/experiments/seed3/wadi_seed1/pareto_fronts/2_FQ_101_PV_sensors_delta_actuators_next/pareto_front_scored.csv
2_FQ_201_PV,sensor,sensors_delta_actuators_next,((-0.042342328 - 2_LS_201_AH) * 2_FQ_401_PV) * 2_FIC_201_PV,2_FIC_201_PV*2_FQ_401_PV*(-2_LS_201_AH - 0.042342328),7.0,0.0009816091,0.0163525647286408,-0.00016504032461428508,0.0016608137924834323,0.0008505767805713707,38.619994443459476,0.012190342523904671,0.0003156484794877845,highest_score_among_stable_candidates,artifacts/experiments/seed3/wadi_seed1/pareto_fronts/2_FQ_201_PV_sensors_delta_actuators_next/pareto_front_scored.csv
2_FQ_301_PV,sensor,sensors_delta_actuators_next,2_FIC_301_PV * -0.009665701,2_FIC_301_PV*(-0.009665701),3.0,0.000636452,0.0024579990342444,0.003045498207426389,0.0015368973272815254,0.0006520010116180557,17.38200866188249,0.008642246941047248,0.0004971949507768386,highest_score_among_stable_candidates,artifacts/experiments/seed3/wadi_seed1/pareto_fronts/2_FQ_301_PV_sensors_delta_actuators_next/pareto_front_scored.csv
