attack_id,start,end,attacked_tags,source,official_start,official_end
1,1737,2671,MV101,src/ics_symbolic_distill/data/ics_metadata.py::_SWAT_ATTACK_WINDOWS,1738,2672
2,3045,3489,P102,src/ics_symbolic_distill/data/ics_metadata.py::_SWAT_ATTACK_WINDOWS,3046,3490
3,4900,5281,LIT101,src/ics_symbolic_distill/data/ics_metadata.py::_SWAT_ATTACK_WINDOWS,4901,5282
4,7232,7430,AIT202,src/ics_symbolic_distill/data/ics_metadata.py::_SWAT_ATTACK_WINDOWS,7233,7431
5,7684,8112,LIT301,src/ics_symbolic_distill/data/ics_metadata.py::_SWAT_ATTACK_WINDOWS,7685,8113
6,11384,12354,DPIT301,src/ics_symbolic_distill/data/ics_metadata.py::_SWAT_ATTACK_WINDOWS,11385,12355
7,15360,16082,FIT401,src/ics_symbolic_distill/data/ics_metadata.py::_SWAT_ATTACK_WINDOWS,15361,16083
8,90661,90916,MV304,src/ics_symbolic_distill/data/ics_metadata.py::_SWAT_ATTACK_WINDOWS,90662,90917
9,93423,93704,LIT301,src/ics_symbolic_distill/data/ics_metadata.py::_SWAT_ATTACK_WINDOWS,93424,93705
10,103091,103796,MV303,src/ics_symbolic_distill/data/ics_metadata.py::_SWAT_ATTACK_WINDOWS,103092,103797
11,115821,116079,AIT504,src/ics_symbolic_distill/data/ics_metadata.py::_SWAT_ATTACK_WINDOWS,115822,116080
12,116122,116514,AIT504,src/ics_symbolic_distill/data/ics_metadata.py::_SWAT_ATTACK_WINDOWS,116123,116515
13,116998,117699,LIT101,src/ics_symbolic_distill/data/ics_metadata.py::_SWAT_ATTACK_WINDOWS,116999,117700
14,132895,133361,UV401;AIT502,src/ics_symbolic_distill/data/ics_metadata.py::_SWAT_ATTACK_WINDOWS,132896,133362
15,142926,143610,DPIT301,src/ics_symbolic_distill/data/ics_metadata.py::_SWAT_ATTACK_WINDOWS,142927,143611
16,172267,172587,P203;P205,src/ics_symbolic_distill/data/ics_metadata.py::_SWAT_ATTACK_WINDOWS,172268,172588
17,172891,173498,LIT401,src/ics_symbolic_distill/data/ics_metadata.py::_SWAT_ATTACK_WINDOWS,172892,173499
18,198272,199715,P101;LIT301,src/ics_symbolic_distill/data/ics_metadata.py::_SWAT_ATTACK_WINDOWS,198273,199716
19,227827,228360,LIT401,src/ics_symbolic_distill/data/ics_metadata.py::_SWAT_ATTACK_WINDOWS,227828,228361
20,229518,263726,P302,src/ics_symbolic_distill/data/ics_metadata.py::_SWAT_ATTACK_WINDOWS,229519,263727
21,280022,281183,P101;MV201;LIT101,src/ics_symbolic_distill/data/ics_metadata.py::_SWAT_ATTACK_WINDOWS,280023,281184
22,302652,303018,LIT401,src/ics_symbolic_distill/data/ics_metadata.py::_SWAT_ATTACK_WINDOWS,302653,303019
23,347717,348314,LIT301,src/ics_symbolic_distill/data/ics_metadata.py::_SWAT_ATTACK_WINDOWS,347718,348315
24,361242,361673,LIT101,src/ics_symbolic_distill/data/ics_metadata.py::_SWAT_ATTACK_WINDOWS,361243,361674
25,371518,371617,P101,src/ics_symbolic_distill/data/ics_metadata.py::_SWAT_ATTACK_WINDOWS,371519,371618
26,371892,372373,P101,src/ics_symbolic_distill/data/ics_metadata.py::_SWAT_ATTACK_WINDOWS,371893,372374
27,389745,390261,LIT101,src/ics_symbolic_distill/data/ics_metadata.py::_SWAT_ATTACK_WINDOWS,389746,390262
28,436671,437045,FIT502,src/ics_symbolic_distill/data/ics_metadata.py::_SWAT_ATTACK_WINDOWS,436672,437046
29,437454,437734,AIT402;AIT502,src/ics_symbolic_distill/data/ics_metadata.py::_SWAT_ATTACK_WINDOWS,437455,437735
30,438183,438582,FIT401;AIT502,src/ics_symbolic_distill/data/ics_metadata.py::_SWAT_ATTACK_WINDOWS,438184,438583
31,438658,438954,FIT401,src/ics_symbolic_distill/data/ics_metadata.py::_SWAT_ATTACK_WINDOWS,438659,438955
32,443539,445190,LIT301,src/ics_symbolic_distill/data/ics_metadata.py::_SWAT_ATTACK_WINDOWS,443540,445191
