dataset,attack_id,attacked_tags,alert_nodes,n_alert_nodes,detected,nearest_alert_node,nearest_attack_target,nearest_distance,mean_alert_distance,median_alert_distance,exact_target_alert,within_1_hop,within_2_hops,within_3_hops,disconnected_alert_count
SWAT,1,MV101,,0,False,,,inf,inf,inf,False,False,False,False,0
SWAT,2,P102,P102,1,True,P102,P102,0.0,0.0,0.0,True,True,True,True,0
SWAT,3,LIT101,LIT101,1,True,LIT101,LIT101,0.0,0.0,0.0,True,True,True,True,0
SWAT,4,AIT202,,0,False,,,inf,inf,inf,False,False,False,False,0
SWAT,5,LIT301,LIT301,1,True,LIT301,LIT301,0.0,0.0,0.0,True,True,True,True,0
SWAT,6,DPIT301,FIT301;FIT601;LIT401;MV302;P602,5,True,FIT301,DPIT301,1.0,inf,2.0,False,True,True,True,1
SWAT,7,FIT401,FIT502;FIT504;P402;PIT503,4,True,PIT503,FIT401,1.0,2.5,2.5,False,True,True,True,0
SWAT,8,MV304,,0,False,,,inf,inf,inf,False,False,False,False,0
SWAT,9,LIT301,LIT301,1,True,LIT301,LIT301,0.0,0.0,0.0,True,True,True,True,0
SWAT,10,MV303,,0,False,,,inf,inf,inf,False,False,False,False,0
SWAT,11,AIT504,,0,False,,,inf,inf,inf,False,False,False,False,0
SWAT,12,AIT504,AIT504,1,True,AIT504,AIT504,0.0,0.0,0.0,True,True,True,True,0
SWAT,13,LIT101,LIT101,1,True,LIT101,LIT101,0.0,0.0,0.0,True,True,True,True,0
SWAT,14,UV401;AIT502,FIT502;FIT504;P501;PIT503;UV401,5,True,UV401,UV401,0.0,inf,1.0,True,True,True,True,1
SWAT,15,DPIT301,LIT401,1,True,LIT401,DPIT301,1.0,1.0,1.0,False,True,True,True,0
SWAT,16,P203;P205,P204;P206,2,True,P204,,inf,inf,inf,False,False,False,False,2
SWAT,17,LIT401,LIT401,1,True,LIT401,LIT401,0.0,0.0,0.0,True,True,True,True,0
SWAT,18,P101;LIT301,LIT301;P102,2,True,LIT301,LIT301,0.0,inf,inf,True,True,True,True,1
SWAT,19,LIT401,LIT401,1,True,LIT401,LIT401,0.0,0.0,0.0,True,True,True,True,0
SWAT,20,P302,FIT501;FIT502;LIT401;P402;P501;PIT503;UV401,7,True,LIT401,P302,2.0,inf,inf,False,False,True,True,6
SWAT,21,P101;MV201;LIT101,LIT101;P102,2,True,LIT101,LIT101,0.0,inf,inf,True,True,True,True,1
SWAT,22,LIT401,LIT401,1,True,LIT401,LIT401,0.0,0.0,0.0,True,True,True,True,0
SWAT,23,LIT301,LIT301,1,True,LIT301,LIT301,0.0,0.0,0.0,True,True,True,True,0
SWAT,24,LIT101,LIT101,1,True,LIT101,LIT101,0.0,0.0,0.0,True,True,True,True,0
SWAT,25,P101,P102,1,True,P102,,inf,inf,inf,False,False,False,False,1
SWAT,26,P101,,0,False,,,inf,inf,inf,False,False,False,False,0
SWAT,27,LIT101,LIT101,1,True,LIT101,LIT101,0.0,0.0,0.0,True,True,True,True,0
SWAT,28,FIT502,FIT504;PIT503,2,True,FIT504,FIT502,1.0,1.5,1.5,False,True,True,True,0
SWAT,29,AIT402;AIT502,,0,False,,,inf,inf,inf,False,False,False,False,0
SWAT,30,FIT401;AIT502,PIT503,1,True,PIT503,FIT401,1.0,1.0,1.0,False,True,True,True,0
SWAT,31,FIT401,FIT502;FIT504;P501;PIT503;UV401,5,True,PIT503,FIT401,1.0,inf,3.0,False,True,True,True,1
SWAT,32,LIT301,LIT301,1,True,LIT301,LIT301,0.0,0.0,0.0,True,True,True,True,0
