dataset,target,status,elapsed_seconds,procs,sample_size
SWaT,AIT201,completed,740.6504392623901,1,12000
SWaT,AIT202,completed,738.5752141475677,1,12000
SWaT,AIT203,completed,694.5753366947174,1,12000
SWaT,AIT401,completed,706.9843072891235,1,12000
SWaT,AIT402,completed,704.3088698387146,1,12000
SWaT,AIT501,completed,708.3385643959045,1,12000
SWaT,AIT502,completed,708.2037155628204,1,12000
SWaT,AIT503,completed,718.6303973197937,1,12000
SWaT,AIT504,completed,703.6234650611877,1,12000
SWaT,DPIT301,completed,712.4701364040375,1,12000
SWaT,FIT101,completed,731.0317254066467,1,12000
SWaT,FIT201,completed,712.912923336029,1,12000
SWaT,FIT301,completed,711.3714005947113,1,12000
SWaT,FIT401,completed,691.2049221992493,1,12000
SWaT,FIT501,completed,701.3179898262024,1,12000
SWaT,FIT502,completed,702.4337422847748,1,12000
SWaT,FIT503,completed,713.4006624221802,1,12000
SWaT,FIT504,completed,696.1782033443451,1,12000
SWaT,FIT601,completed,265.33424186706543,1,12000
SWaT,LIT101,completed,722.0229756832123,1,12000
SWaT,LIT301,completed,688.2667036056519,1,12000
SWaT,LIT401,completed,690.3493149280548,1,12000
SWaT,PIT501,completed,706.3056728839874,1,12000
SWaT,PIT502,completed,713.2953984737396,1,12000
SWaT,PIT503,completed,704.7901496887207,1,12000
WADI,1_AIT_001_PV,completed,1308.8233880996704,1,20000
WADI,1_AIT_002_PV,completed,1307.5229940414429,1,20000
WADI,1_AIT_003_PV,completed,1293.9251878261566,1,20000
WADI,1_AIT_004_PV,completed,1317.1994111537933,1,20000
WADI,1_AIT_005_PV,completed,1207.107956647873,1,20000
WADI,1_FIT_001_PV,completed,1144.151691198349,1,20000
WADI,1_LS_001_AL,completed,1050.9235184192657,1,20000
WADI,1_LS_002_AL,completed,1137.9872918128967,1,20000
WADI,1_LT_001_PV,completed,1145.3128213882446,1,20000
WADI,2A_AIT_001_PV,completed,147.76611614227295,1,20000
WADI,2A_AIT_002_PV,completed,154.61949610710144,1,20000
WADI,2A_AIT_003_PV,completed,151.71931099891663,1,20000
WADI,2A_AIT_004_PV,completed,152.36196780204773,1,20000
WADI,2B_AIT_001_PV,completed,136.30449438095093,1,20000
WADI,2B_AIT_002_PV,completed,152.80516076087952,1,20000
WADI,2B_AIT_003_PV,completed,143.70769667625427,1,20000
WADI,2B_AIT_004_PV,completed,152.35174179077148,1,20000
WADI,2_DPIT_001_PV,completed,1150.3321688175201,1,20000
WADI,2_FIC_101_CO,completed,1242.1719195842743,1,20000
WADI,2_FIC_101_PV,completed,1238.0650594234467,1,20000
WADI,2_FIC_101_SP,completed,1112.663227558136,1,20000
WADI,2_FIC_201_CO,completed,1269.868145942688,1,20000
WADI,2_FIC_201_PV,completed,1223.628190279007,1,20000
WADI,2_FIC_201_SP,completed,1236.1797311306,1,20000
WADI,2_FIC_301_CO,completed,1231.056660413742,1,20000
