dataset,seed,target,variable_type,equation,parse_ok,in_geco_class,geco_form,outside_reason,n_nonself_inputs,max_exponent,n_interaction_monomials,monomials,involves_constant_var,binary_power_reduced,complexity,holdout_r2
SWaT,0,FIT101,sensor,(LIT101 * -5.3608805e-5) + 0.031951737,True,True,Sum,,1,1,0,FIT101 + LIT101,False,False,5.0,-0.0207305581981627
SWaT,0,LIT101,sensor,(FIT201 - FIT101) * -0.19228067,True,True,Sum,,2,1,0,FIT101 + FIT201 + LIT101,False,False,5.0,0.4018147921608109
SWaT,0,AIT202,sensor,((AIT203 * ((AIT203 * -2.9803743e-7) + 0.00024087902)) + -0.046792872) * 0.7563125,True,False,,mixed_structure;power,1,2,1,AIT202 + AIT203 + AIT203^2,False,False,11.0,-0.0818836637651805
SWaT,0,AIT203,sensor,(AIT202 * 0.56930953) + -4.7756815,True,True,Sum,,1,1,0,AIT202 + AIT203,False,False,5.0,-0.0422501303380449
SWaT,0,FIT201,sensor,FIT301 * 0.0019161832,True,True,Sum,,1,1,0,FIT201 + FIT301,False,False,3.0,-0.0284120935370824
SWaT,0,DPIT301,sensor,P302 - ((FIT301 * 0.4284513) - -1.027144),True,True,Sum,,2,1,0,DPIT301 + FIT301 + P302,False,False,7.0,0.438009565637049
SWaT,0,FIT301,sensor,MV303 * -0.0026802947,True,True,Sum,,1,1,0,FIT301 + MV303,False,False,3.0,-0.0103347119744217
SWaT,0,LIT301,sensor,(FIT301 - FIT201) * -0.18929929,True,True,Sum,,2,1,0,FIT201 + FIT301 + LIT301,False,False,5.0,0.336680080211637
SWaT,0,AIT401,sensor,(FIT301 * (MV304 * (MV304 * 1.11552225e-7))) * AIT401,True,False,,power;self_interaction,2,2,1,AIT401 + AIT401*FIT301*MV304^2,False,False,9.0,-0.0007011429606935
SWaT,0,LIT401,sensor,(DPIT301 * 0.022688651) - 0.38223073,True,True,Sum,,1,1,0,DPIT301 + LIT401,False,False,5.0,0.2947958211021037
SWaT,0,AIT504,sensor,((FIT504 * 3.598646) - 1.1120417) * PIT502,True,False,,mixed_structure,2,1,1,AIT504 + FIT504*PIT502 + PIT502,False,False,7.0,-0.0496605050897791
SWaT,0,FIT501,sensor,AIT504 * 6.7863766e-6,True,True,Sum,,1,1,0,AIT504 + FIT501,False,False,3.0,-0.0112060988402207
SWaT,0,FIT502,sensor,(P402 - UV401) * 0.20704994,True,True,Sum,,2,1,0,FIT502 + P402 + UV401,False,False,5.0,-9.542144852048295e-12
SWaT,0,FIT504,sensor,FIT502 * (0.006901001 - (FIT504 * 0.022353666)),True,False,,mixed_structure;self_interaction,1,1,1,FIT502 + FIT502*FIT504 + FIT504,False,False,7.0,0.0006818953951246
SWaT,0,PIT503,sensor,((((UV401 * P402) * P402) + -0.97898483) * (FIT503 + -0.9433507)) * (FIT401 + -1.7066069),True,False,,input_budget;multi_interaction;power,4,2,5,FIT401 + FIT401*FIT503 + FIT401*FIT503*P402^2*UV401 + FIT401*P402^2*UV401 + FIT503 + FIT503*P402^2*UV401 + P402^2*UV401 + PIT503,False,False,15.0,-0.1691758905329723
SWaT,0,FIT601,sensor,((P602 - FIT601) + -0.99994063) * FIT301,True,False,,multi_interaction;self_interaction,2,1,2,FIT301 + FIT301*FIT601 + FIT301*P602 + FIT601,False,False,7.0,0.4916735207848195
SWaT,1,FIT101,sensor,(LIT101 * -5.361272e-5) + 0.031954095,True,True,Sum,,1,1,0,FIT101 + LIT101,False,False,5.0,-0.0207357249342321
SWaT,1,LIT101,sensor,(FIT101 - FIT201) * 0.19224785,True,True,Sum,,2,1,0,FIT101 + FIT201 + LIT101,False,False,5.0,0.4018132458312282
SWaT,1,AIT202,sensor,((P203 - P205) * (FIT301 * -0.00037107227)) + 9.8148805e-5,True,False,,multi_interaction,3,1,2,AIT202 + FIT301*P203 + FIT301*P205,False,False,9.0,-0.0155213518972192
SWaT,1,AIT203,sensor,(AIT202 * 0.5692992) + -4.7755938,True,True,Sum,,1,1,0,AIT202 + AIT203,False,False,5.0,-0.0422475276851628
SWaT,1,FIT201,sensor,FIT301 * 0.001912743,True,True,Sum,,1,1,0,FIT201 + FIT301,False,False,3.0,-0.0282849838281757
SWaT,1,DPIT301,sensor,P302 - (0.38481948 - ((FIT301 * -0.4854745) + -0.5564318)),True,True,Sum,,2,1,0,DPIT301 + FIT301 + P302,False,False,9.0,0.4167104954500054
SWaT,1,FIT301,sensor,(-0.15891005 - (P302 * -0.17330503)) - (FIT301 * 0.08161943),True,True,Sum,,1,1,0,FIT301 + P302,False,False,9.0,0.2627793047365205
SWaT,1,LIT301,sensor,(FIT301 - FIT201) * -0.1894034,True,True,Sum,,2,1,0,FIT201 + FIT301 + LIT301,False,False,5.0,0.3366897067913429
SWaT,1,AIT401,sensor,MV304 * 2.6618334e-5,True,True,Sum,,1,1,0,AIT401 + MV304,False,False,3.0,-0.0003720308124774
SWaT,1,FIT401,sensor,((((FIT401 * -0.0019137706) - -0.07361768) + -0.070360035) * FIT502) * P101,True,False,,multi_interaction;self_interaction,2,1,2,FIT401 + FIT401*FIT502*P101 + FIT502*P101,False,False,11.0,-0.007567191323524
SWaT,1,LIT401,sensor,(DPIT301 * 0.022689307) + -0.38224253,True,True,Sum,,1,1,0,DPIT301 + LIT401,False,False,5.0,0.2947959937651717
