dataset,seed,selected,outside_geco_class,pct_outside,outside_nondegenerate,reasons
BATADAL,0,31,3,9.68,2,mixed_structure;multi_interaction;power
BATADAL,1,31,3,9.68,3,mixed_structure;self_interaction
BATADAL,4,31,1,3.23,1,mixed_structure
HAI_R13,0,47,5,10.64,4,input_budget;multi_interaction;self_interaction;mixed_structure;mixed_structure;self_interaction;multi_interaction;self_interaction;self_interaction
HAI_R13,1,45,7,15.56,6,mixed_structure;mixed_structure;power;mixed_structure;self_interaction;multi_interaction;multi_interaction;power;multi_interaction;self_interaction
HAI_R13,4,48,6,12.5,6,mixed_structure;mixed_structure;power;mixed_structure;self_interaction;multi_interaction;multi_interaction;power;self_interaction;multi_interaction;self_interaction
SWaT,0,16,6,37.5,6,input_budget;multi_interaction;power;mixed_structure;mixed_structure;power;mixed_structure;self_interaction;multi_interaction;self_interaction;power;self_interaction
SWaT,1,17,7,41.18,7,mixed_structure;mixed_structure;self_interaction;multi_interaction;multi_interaction;power;self_interaction;multi_interaction;self_interaction
SWaT,4,17,8,47.06,7,mixed_structure;mixed_structure;power;multi_interaction;power;multi_interaction;power;self_interaction;multi_interaction;self_interaction
WADI,0,63,18,28.57,17,input_budget;input_budget;multi_interaction;input_budget;multi_interaction;power;input_budget;self_interaction;multi_interaction;multi_interaction;self_interaction;power;self_interaction;self_interaction
WADI,1,63,26,41.27,22,input_budget;input_budget;multi_interaction;input_budget;multi_interaction;power;input_budget;multi_interaction;self_interaction;input_budget;self_interaction;mixed_structure;mixed_structure;power;multi_interaction;multi_interaction;power;self_interaction;multi_interaction;self_interaction;self_interaction
WADI,4,62,17,27.42,15,input_budget;input_budget;multi_interaction;input_budget;multi_interaction;power;multi_interaction;multi_interaction;self_interaction;self_interaction
