dataset,seed,target,holdout_r2,outside_reason,equation,monomials,geco_equation
BATADAL,1,L_T6,0.7529223806150133,self_interaction,(((F_PU10 * 0.0019019584) - 0.66192394) * L_T6) + 3.2965274,F_PU10*L_T6 + L_T6,Sum: 0.509556*L_T6 + 0.015331*L_T3 + -0.043314*L_T7 + 0.008849*F_PU10 + 2.489405
BATADAL,0,P_J415,0.6329216889959182,power,(95.738495 - P_J415) - (L_T4 * L_T4),L_T4^2,Sum: -0.817142*P_J415 + -5.66057*L_T4 + 0.785682*F_PU6 + 0.355998*F_PU7 + 155.610062
BATADAL,1,F_PU6,0.4844765933854978,self_interaction,F_PU6 * (2.2838569 - L_T4),F_PU6 + F_PU6*L_T4,Product: 2.806078*F_PU6 + -5.498167*(L_T4*L_T6*S_PU6) + 0.031606
HAI_R13,1,P4_HT_PO,0.768524577289499,mixed_structure,(((P4_HT_FD * P1_FT01Z) - P4_HT_LD) * -0.13871539) + (-0.1440242 * P4_HT_PO),P1_FT01Z*P4_HT_FD + P4_HT_LD + P4_HT_PO,Sum: 0.423146*P4_HT_PO + 0.00233*P3_LCV01D + -86.573441*P4_HT_FD + 0.068876*P4_HT_LD + 0.630595
HAI_R13,4,P1_FCV01Z,0.3671888230608187,multi_interaction;power;self_interaction,(P1_B4002 - 0.7087669) * ((P1_B4002 * 0.00023779471) * (P1_FCV01D - P1_FCV01Z)),P1_B4002*P1_FCV01D + P1_B4002*P1_FCV01Z + P1_B4002^2*P1_FCV01D + P1_B4002^2*P1_FCV01Z + P1_FCV01Z,Sum: 0.872531*P1_FCV01Z + 0.126264*P1_FCV01D + -0.007436*P1_FCV02D + 0.006507*P1_FCV02Z + 0.100456
HAI_R13,0,P1_FT03Z,0.0667324647635103,multi_interaction;self_interaction,(P1_B3005 - P1_FT03Z) * P1_B2004,P1_B2004*P1_B3005 + P1_B2004*P1_FT03Z + P1_FT03Z,Sum: 0.883467*P1_FT03Z + 0.065068*P1_B3005 + -0.064501*P1_FCV03D + 0.106189*P1_FT03 + 28.36702
SWaT,0,FIT601,0.4916735207848195,multi_interaction;self_interaction,((P602 - FIT601) + -0.99994063) * FIT301,FIT301 + FIT301*FIT601 + FIT301*P602 + FIT601,Sum: 0.92805*FIT601 + 0.05161*MV301 + -0.009318*MV303 + 0.109932*P602 + -0.152154
SWaT,4,FIT401,0.0384870691733622,multi_interaction;self_interaction,(PIT502 - PIT503) * (((FIT401 * -1.0062592) + FIT501) * -0.0005136587),FIT401 + FIT401*PIT502 + FIT401*PIT503 + FIT501*PIT502 + FIT501*PIT503,Sum: 0.944397*FIT401 + 0.125473*UV401 + -0.000244*AIT504 + -0.000308*PIT503 + -0.094061
SWaT,1,FIT504,0.0023892610361745,mixed_structure;self_interaction,(0.004776367 - (FIT504 * 0.015470721)) * FIT501,FIT501 + FIT501*FIT504 + FIT504,Sum: 0.919279*FIT504 + -0.01118*UV401 + 0.06538*FIT503 + -6.5e-05*PIT503 + 0.011333
WADI,1,2_MCV_501_CO,0.0202494597387081,input_budget;multi_interaction;power,(((2_FIC_101_CO * (1_MV_004_STATUS - 2_MV_201_STATUS)) * (1_MV_004_STATUS - 2_MV_201_STATUS)) * (2_LS_201_AL * 0.16133851)) - 0.024073241,1_MV_004_STATUS*2_FIC_101_CO*2_LS_201_AL*2_MV_201_STATUS + 1_MV_004_STATUS^2*2_FIC_101_CO*2_LS_201_AL + 2_FIC_101_CO*2_LS_201_AL*2_MV_201_STATUS^2 + 2_MCV_501_CO,Sum: 0.978165*2_MCV_501_CO + 0.015953*2_FIC_201_CO + 1.440102*2_LS_201_AL + -1.730451*2_MV_201_STATUS + 1.880651
WADI,1,2_FQ_401_PV,0.0071459737276392,multi_interaction;self_interaction,(((2_FIC_101_SP * 0.19793929) + -0.09517774) * 2_FQ_101_PV) * 2_FQ_401_PV,2_FIC_101_SP*2_FQ_101_PV*2_FQ_401_PV + 2_FQ_101_PV*2_FQ_401_PV + 2_FQ_401_PV,Product: 0.949491*2_FQ_401_PV + 0.00021*(2_MCV_301_CO*2_MV_006_STATUS*2_P_003_STATUS) + 0.001644
WADI,0,2_LS_301_AL,0.0065613225673001,multi_interaction;self_interaction,(0.72565746 - 3_AIT_005_PV) * (2_LS_301_AL * (3_FIT_001_PV + -0.57262355)),2_LS_301_AL + 2_LS_301_AL*3_AIT_005_PV + 2_LS_301_AL*3_AIT_005_PV*3_FIT_001_PV + 2_LS_301_AL*3_FIT_001_PV,Product: 0.986884*2_LS_301_AL + -9.1e-05*(2_FIC_301_PV*2_MCV_401_CO*TOTAL_CONS_REQUIRED_FLOW) + 0.000204
