dataset,variable,n_unique,is_constant,is_binary
BATADAL,L_T1,8760,False,False
BATADAL,L_T2,8756,False,False
BATADAL,L_T3,8753,False,False
BATADAL,L_T4,8758,False,False
BATADAL,L_T5,8757,False,False
BATADAL,L_T6,4179,False,False
BATADAL,L_T7,8752,False,False
BATADAL,F_PU1,8743,False,False
BATADAL,S_PU1,1,True,True
BATADAL,F_PU2,6386,False,False
BATADAL,S_PU2,2,False,True
BATADAL,F_PU3,1,True,True
BATADAL,S_PU3,1,True,True
BATADAL,F_PU4,3695,False,False
BATADAL,S_PU4,2,False,True
BATADAL,F_PU5,1,True,True
BATADAL,S_PU5,1,True,True
BATADAL,F_PU6,17,False,False
BATADAL,S_PU6,2,False,True
BATADAL,F_PU7,7377,False,False
BATADAL,S_PU7,2,False,True
BATADAL,F_PU8,5193,False,False
BATADAL,S_PU8,2,False,True
BATADAL,F_PU9,1,True,True
BATADAL,S_PU9,1,True,True
BATADAL,F_PU10,7113,False,False
BATADAL,S_PU10,2,False,True
BATADAL,F_PU11,5,False,False
BATADAL,S_PU11,2,False,True
BATADAL,F_V2,6384,False,False
BATADAL,S_V2,2,False,True
BATADAL,P_J280,7258,False,False
BATADAL,P_J269,8746,False,False
BATADAL,P_J300,8741,False,False
BATADAL,P_J256,8749,False,False
BATADAL,P_J289,8741,False,False
BATADAL,P_J415,8726,False,False
BATADAL,P_J302,8758,False,False
BATADAL,P_J306,8738,False,False
BATADAL,P_J307,8758,False,False
BATADAL,P_J317,8735,False,False
BATADAL,P_J14,8755,False,False
BATADAL,P_J422,8735,False,False
HAI_R13,P1_B2004,779,False,False
HAI_R13,P1_B2016,73747,False,False
HAI_R13,P1_B3004,1405,False,False
HAI_R13,P1_B3005,1406,False,False
HAI_R13,P1_B4002,828,False,False
HAI_R13,P1_B4005,396519,False,False
HAI_R13,P1_B400B,15408,False,False
HAI_R13,P1_B4022,109923,False,False
HAI_R13,P1_FCV01D,397300,False,False
HAI_R13,P1_FCV01Z,85977,False,False
HAI_R13,P1_FCV02D,20925,False,False
HAI_R13,P1_FCV02Z,12443,False,False
HAI_R13,P1_FCV03D,667967,False,False
HAI_R13,P1_FCV03Z,4839,False,False
HAI_R13,P1_FT01,5950,False,False
HAI_R13,P1_FT01Z,5757,False,False
HAI_R13,P1_FT02,15738,False,False
HAI_R13,P1_FT02Z,15235,False,False
HAI_R13,P1_FT03,5010,False,False
HAI_R13,P1_FT03Z,4390,False,False
