dataset,method,Prec,Rec,F1,eTaP,eTaR,eTaF1,FPA,Scen,S,G
SWaT,GeCo,94.8,79.0,86.2,83.1,60.7,70.2,4.0,86.1,,
SWaT,SIMPLE,70.7,86.7,77.9,58.7,47.2,52.3,18.0,75.0,,
SWaT,TABOR,81.5,74.7,77.9,49.1,18.9,27.3,27.0,55.6,,
SWaT,Invariant,97.3,69.1,80.8,54.7,29.8,38.6,182.0,86.1,,
SWaT,Seq2SeqNN,44.0,10.9,17.5,42.8,47.2,44.9,36.0,75.0,,
SWaT,PASAD,32.4,71.5,44.6,16.0,4.9,7.5,14.0,44.4,,
SWaT,ASID-ICS,97.28843210146512,77.61387865865478,86.34457179207953,88.8158578359868,54.57806676185908,67.60952853587064,4.0,75.0,1.2,15.0
WADI,GeCo,92.6,32.1,47.7,91.3,56.3,69.7,0.0,78.6,,
WADI,SIMPLE,58.2,43.6,49.8,57.0,52.1,54.4,8.0,64.3,,
WADI,TABOR,19.1,43.7,26.6,14.9,13.0,13.9,3.0,57.1,,
WADI,Invariant,90.0,21.9,35.2,92.3,32.6,48.1,2.0,42.9,,
WADI,Seq2SeqNN,44.4,13.4,20.5,45.4,31.3,37.1,7.0,64.3,,
WADI,PASAD,16.4,23.9,19.5,5.4,4.3,4.8,3.0,35.7,,
WADI,ASID-ICS,93.85652001585414,47.82872147041002,63.366336633663366,95.60123530161296,56.89088233521071,71.33271821430182,0.0,64.28571428571429,1.2,25.0
BATADAL,GeCo,93.8,73.4,82.3,97.0,88.1,92.4,0.0,100.0,,
BATADAL,SIMPLE,52.0,43.3,47.2,49.0,42.8,45.7,4.0,71.4,,
BATADAL,TABOR,78.5,6.9,12.7,77.7,14.3,24.1,2.0,14.3,,
BATADAL,Invariant,27.2,45.5,34.0,18.2,74.9,29.3,865.0,100.0,,
BATADAL,Seq2SeqNN,34.2,5.6,9.6,27.0,6.9,11.0,1.0,14.3,,
BATADAL,PASAD,20.1,52.1,29.1,10.5,21.5,14.1,32.0,78.6,,
BATADAL,ASID-ICS,95.21829521829522,50.94549499443827,66.3768115942029,98.00961677967362,74.98387345936737,84.96436128611721,0.0,92.85714285714286,1.4,2.0
