dataset,radius,radius_hops,percentage,denominator,convention
SWaT,<=0,0,69.56521739130434,23,detected_attacks_with_finite_graph_distance
SWaT,<=1,1,95.65217391304348,23,detected_attacks_with_finite_graph_distance
SWaT,<=2,2,100.0,23,detected_attacks_with_finite_graph_distance
SWaT,<=3,3,100.0,23,detected_attacks_with_finite_graph_distance
WADI,<=0,0,87.5,8,detected_attacks_with_finite_graph_distance
WADI,<=1,1,87.5,8,detected_attacks_with_finite_graph_distance
WADI,<=2,2,100.0,8,detected_attacks_with_finite_graph_distance
WADI,<=3,3,100.0,8,detected_attacks_with_finite_graph_distance
HAI,<=0,0,51.515151515151516,33,detected_attacks_with_finite_graph_distance
HAI,<=1,1,75.75757575757575,33,detected_attacks_with_finite_graph_distance
HAI,<=2,2,87.87878787878788,33,detected_attacks_with_finite_graph_distance
HAI,<=3,3,93.93939393939394,33,detected_attacks_with_finite_graph_distance
BATADAL,<=0,0,54.54545454545454,11,detected_attacks_with_finite_graph_distance
BATADAL,<=1,1,100.0,11,detected_attacks_with_finite_graph_distance
BATADAL,<=2,2,100.0,11,detected_attacks_with_finite_graph_distance
BATADAL,<=3,3,100.0,11,detected_attacks_with_finite_graph_distance
SWaT,<=0,0,50.0,32,all_attack_scenarios
SWaT,<=1,1,68.75,32,all_attack_scenarios
SWaT,<=2,2,71.875,32,all_attack_scenarios
SWaT,<=3,3,71.875,32,all_attack_scenarios
WADI,<=0,0,46.666666666666664,15,all_attack_scenarios
WADI,<=1,1,46.666666666666664,15,all_attack_scenarios
WADI,<=2,2,53.333333333333336,15,all_attack_scenarios
WADI,<=3,3,53.333333333333336,15,all_attack_scenarios
HAI,<=0,0,34.0,50,all_attack_scenarios
HAI,<=1,1,50.0,50,all_attack_scenarios
HAI,<=2,2,57.99999999999999,50,all_attack_scenarios
HAI,<=3,3,62.0,50,all_attack_scenarios
BATADAL,<=0,0,42.857142857142854,14,all_attack_scenarios
BATADAL,<=1,1,78.57142857142857,14,all_attack_scenarios
BATADAL,<=2,2,78.57142857142857,14,all_attack_scenarios
BATADAL,<=3,3,78.57142857142857,14,all_attack_scenarios
