dataset,attack_id,attacked_tags,alert_nodes,n_alert_nodes,detected,nearest_alert_node,nearest_attack_target,nearest_distance,mean_alert_distance,median_alert_distance,exact_target_alert,within_1_hop,within_2_hops,within_3_hops,disconnected_alert_count
HAI,1,P1_B2016,P1_PCV01Z,1,True,P1_PCV01Z,P1_B2016,1.0,1.0,1.0,False,True,True,True,0
HAI,2,P1_B3005,P1_FT03;P1_FT03Z,2,True,P1_FT03,P1_B3005,1.0,1.0,1.0,False,True,True,True,0
HAI,3,P1_LCV01D,P1_FT01;P1_LCV01D;P1_LCV01Z;P1_PCV01Z;P4_ST_PT01,5,True,P1_LCV01D,P1_LCV01D,0.0,2.2,2.0,True,True,True,True,0
HAI,4,P2_SCO,P2_CO_rpm,1,True,P2_CO_rpm,,inf,inf,inf,False,False,False,False,1
HAI,5,P2_AutoSD,P2_CO_rpm;P2_VYT03,2,True,P2_CO_rpm,,inf,inf,inf,False,False,False,False,2
HAI,6,P2_VTR02,P2_CO_rpm;P2_HILout;P2_VYT03,3,True,P2_CO_rpm,,inf,inf,inf,False,False,False,False,3
HAI,7,P1_B2016;P1_PIT01,P1_FT01;P1_FT03;P1_FT03Z;P1_LCV01D;P1_LCV01Z;P1_LIT01;P1_PCV01Z;P4_ST_PT01,8,True,P1_FT03,P1_PIT01,1.0,2.0,2.0,False,True,True,True,0
HAI,8,P1_LCV01D,P1_LCV01D,1,True,P1_LCV01D,P1_LCV01D,0.0,0.0,0.0,True,True,True,True,0
HAI,9,P1_B3005;P1_FT03,P1_FCV03D;P1_FT03;P1_FT03Z;P1_LCV01D,4,True,P1_FT03,P1_FT03,0.0,2.25,2.0,True,True,True,True,0
HAI,10,P1_B2016,,0,False,,,inf,inf,inf,False,False,False,False,0
HAI,11,P1_FCV03D;P1_FT03,P1_FCV03D,1,True,P1_FCV03D,P1_FCV03D,0.0,0.0,0.0,True,True,True,True,0
HAI,12,P2_VTR01,P2_CO_rpm;P2_VYT03,2,True,P2_CO_rpm,,inf,inf,inf,False,False,False,False,2
HAI,13,P1_B3004;P1_LIT01,P1_FT01;P1_LCV01D;P1_LCV01Z;P4_ST_PT01,4,True,P1_FT01,P1_LIT01,3.0,3.75,3.5,False,False,False,True,0
HAI,14,P1_B3004,P1_LCV01D;P1_LCV01Z;P4_ST_PT01,3,True,P4_ST_PT01,P1_B3004,7.0,8.0,8.0,False,False,False,False,0
HAI,15,P1_PCV01D;P1_PIT01,P1_PCV01Z,1,True,P1_PCV01Z,P1_PIT01,1.0,1.0,1.0,False,True,True,True,0
HAI,16,P2_AutoSD,P2_CO_rpm,1,True,P2_CO_rpm,,inf,inf,inf,False,False,False,False,1
HAI,17,P2_AutoSD;P2_SIT01,P2_CO_rpm;P2_VYT03,2,True,P2_CO_rpm,,inf,inf,inf,False,False,False,False,2
HAI,18,P1_LCV01D;P1_LIT01,P1_FT01;P1_LCV01D;P1_LCV01Z;P1_PCV01Z;P4_ST_PT01,5,True,P1_LCV01D,P1_LCV01D,0.0,1.6,2.0,True,True,True,True,0
HAI,19,P1_PCV01D,P1_PCV01Z,1,True,P1_PCV01Z,P1_PCV01D,2.0,2.0,2.0,False,False,True,True,0
HAI,20,P2_SCO;P2_SIT01,P2_CO_rpm,1,True,P2_CO_rpm,,inf,inf,inf,False,False,False,False,1
HAI,21,P1_FCV03D,P1_FCV03D,1,True,P1_FCV03D,P1_FCV03D,0.0,0.0,0.0,True,True,True,True,0
HAI,22,P2_RTR,P2_CO_rpm;P2_HILout;P2_VYT03,3,True,P2_CO_rpm,,inf,inf,inf,False,False,False,False,3
HAI,23,P1_FCV03D,P1_FCV03D;P1_FT03;P1_FT03Z;P1_LCV01D;P1_LCV01Z;P4_ST_PT01,6,True,P1_FCV03D,P1_FCV03D,0.0,2.6666666666666665,3.0,True,True,True,True,0
HAI,24,P3_LCP01D,,0,False,,,inf,inf,inf,False,False,False,False,0
HAI,25,P2_LCV01D,,0,False,,,inf,inf,inf,False,False,False,False,0
HAI,26,P1_LCV01D;P1_B3005,P1_FT03;P1_LCV01Z,2,True,P1_FT03,P1_B3005,1.0,1.0,1.0,False,True,True,True,0
HAI,27,P1_B2016;P1_PIT01;P1_B3005,P1_FT01;P1_FT03;P1_FT03Z;P1_LCV01D;P1_LCV01Z;P1_LIT01;P4_ST_PT01,7,True,P1_FT03,P1_PIT01,1.0,2.0,2.0,False,True,True,True,0
HAI,28,P1_PCV01D;P1_LCV01D,P1_FT01;P1_LCV01D;P1_LCV01Z;P1_PCV01Z;P4_ST_PT01,5,True,P1_LCV01D,P1_LCV01D,0.0,1.6,2.0,True,True,True,True,0
HAI,29,P2_AutoSD;P2_VTR01,P2_CO_rpm;P2_HILout;P2_VYT03,3,True,P2_CO_rpm,,inf,inf,inf,False,False,False,False,3
HAI,30,P2_SCO;P2_VTR02,P2_VYT03,1,True,P2_VYT03,,inf,inf,inf,False,False,False,False,1
HAI,31,P1_B2016;P2_AutoSD,P1_PCV01Z;P2_CO_rpm;P2_VYT03,3,True,P1_PCV01Z,P1_B2016,1.0,inf,7.0,False,True,True,True,1
HAI,32,P1_FCV03D;P2_VTR01,P1_FCV03D;P1_FT03;P1_FT03Z;P2_CO_rpm;P2_HILout;P2_VYT03,6,True,P1_FCV03D,P1_FCV03D,0.0,inf,4.5,True,True,True,True,2
HAI,33,P1_LCV01D;P1_LIT01;P2_AutoSD,P1_FT01;P1_LCV01D;P1_LCV01Z;P1_PCV01Z;P4_ST_PT01,5,True,P1_LCV01D,P1_LCV01D,0.0,1.6,2.0,True,True,True,True,0
HAI,34,P1_PCV01D;P1_B3004;P1_LIT01,P1_LCV01D;P1_LCV01Z;P1_PCV01Z;P4_ST_PT01,4,True,P1_PCV01Z,P1_PCV01D,2.0,3.5,3.5,False,False,True,True,0
HAI,35,P1_B3005;P1_FT03;P2_LCV01D,P1_FCV03D;P1_FT03;P1_FT03Z;P1_LCV01D;P2_VYT03;P3_LCV01D,6,True,P1_FT03,P1_FT03,0.0,3.5,4.0,True,True,True,True,0
HAI,36,P1_B3004;P1_LIT01;P2_LCV01D,P1_FT01;P1_LCV01D;P1_LCV01Z;P1_PCV01Z;P2_VYT03;P3_LCV01D;P4_ST_PT01,7,True,P1_PCV01Z,P1_LIT01,2.0,3.5714285714285716,3.0,False,False,True,True,0
HAI,37,P2_SCO;P2_SIT01;P1_LCV01D;P1_LIT01,P1_FT01;P1_LCV01D;P1_LCV01Z;P1_PCV01Z;P2_CO_rpm;P4_ST_PT01,6,True,P1_LCV01D,P1_LCV01D,0.0,inf,2.0,True,True,True,True,1
HAI,38,P2_AutoSD;P2_LCV01D,P2_CO_rpm;P3_LCV01D;P3_LIT01,3,True,P2_CO_rpm,,inf,inf,inf,False,False,False,False,3
HAI,39,P1_PCV01D;P2_VTR02,P1_PCV01Z;P2_CO_rpm;P2_HILout;P2_VYT03,4,True,P1_PCV01Z,P1_PCV01D,2.0,inf,inf,False,False,True,True,2
HAI,40,P1_FCV03D;P1_FT03;P2_SCO,P1_FCV03D;P1_FT03;P1_FT03Z;P2_CO_rpm,4,True,P1_FCV03D,P1_FCV03D,0.0,inf,0.5,True,True,True,True,1
HAI,41,P1_B3004;P1_LIT01;P2_SCO,P1_FT01;P1_LCV01D;P1_LCV01Z;P4_ST_PT01,4,True,P1_FT01,P1_LIT01,3.0,3.75,3.5,False,False,False,True,0
HAI,42,P1_FCV03D;P2_LCV01D,P1_FCV03D;P1_FT03;P1_FT03Z;P1_LCV01D;P1_LCV01Z;P3_LCV01D,6,True,P1_FCV03D,P1_FCV03D,0.0,3.5,3.5,True,True,True,True,0
HAI,43,P1_B3004;P2_AutoSD,P1_LCV01D;P1_LCV01Z;P2_CO_rpm;P4_ST_PT01,4,True,P4_ST_PT01,P1_B3004,7.0,inf,8.5,False,False,False,False,1
