dataset,S,G,Prec,Rec,F1,eTaP,eTaR,eTaF1,FPA,Scen,num_monitored,num_sensors,num_actuators
BATADAL,0.1,0.1,15.768621236133121,88.54282536151278,26.769799899108794,12.184160019806027,94.83341968315372,21.593939310758138,708.0,100.0,42,30,12
BATADAL,0.1,0.5,15.689204333208817,93.43715239154616,26.867103790180714,11.706589208937935,97.03172701159025,20.892553937561352,545.0,100.0,42,30,12
BATADAL,0.1,1.0,15.29890343119915,96.21802002224695,26.400122081489396,11.51192453272824,98.34059639701736,20.611079557290452,383.0,100.0,42,30,12
BATADAL,0.1,1.5,15.167364016736402,96.7741935483871,26.224566691785984,11.555074766707417,98.51723358961199,20.68411241548729,335.0,100.0,42,30,12
BATADAL,0.1,2.0,15.157276183892154,97.55283648498332,26.237845923709795,11.227108140140551,98.90862411398126,20.165259651753438,304.0,100.0,42,30,12
BATADAL,0.1,2.16,15.13112491373361,97.55283648498332,26.19865571321882,11.353509445807216,98.90862411398126,20.36891472884421,298.0,100.0,42,30,12
BATADAL,0.1,2.5,15.112872652076511,97.55283648498332,26.171292151596536,11.416553572111425,98.90862411398126,20.470315654582308,294.0,100.0,42,30,12
BATADAL,0.1,3.0,15.163511187607574,97.99777530589544,26.263228499031154,11.214974866942404,99.0958535512107,20.14956324654243,292.0,100.0,42,30,12
BATADAL,0.1,3.5,15.17549896765313,98.10901001112346,26.28520339740724,11.132987577460565,99.13156783692497,20.017865380495447,291.0,100.0,42,30,12
BATADAL,0.1,4.0,15.204678362573098,98.33147942157953,26.3369581409206,10.808915685486523,99.1997496551068,19.493768544935918,291.0,100.0,42,30,12
BATADAL,0.1,4.5,15.204678362573098,98.33147942157953,26.3369581409206,10.808915685486523,99.1997496551068,19.493768544935918,291.0,100.0,42,30,12
BATADAL,0.1,5.0,15.216643741403027,98.44271412680756,26.358897989575574,10.441743803843902,99.23546394082106,18.895289404849876,290.0,100.0,42,30,12
BATADAL,0.1,6.0,15.21402784940691,98.44271412680756,26.354973198332342,10.47085895968561,99.23546394082106,18.942947302420354,289.0,100.0,42,30,12
BATADAL,0.1,7.0,15.21402784940691,98.44271412680756,26.354973198332342,10.47085895968561,99.23546394082106,18.942947302420354,289.0,100.0,42,30,12
BATADAL,0.1,8.0,15.257731958762887,98.77641824249166,26.43250483702932,9.961651520111275,99.43486870272584,18.10908626612411,289.0,100.0,42,30,12
BATADAL,0.1,9.0,15.252490553074544,98.77641824249166,26.42463919059664,9.421262455066167,99.43486870272584,17.211745177228224,287.0,100.0,42,30,12
BATADAL,0.1,10.0,15.264423076923078,98.88765294771969,26.446526848133274,9.047584834875732,99.55391632177346,16.587662122020642,286.0,100.0,42,30,12
BATADAL,0.1,12.0,15.263248156405421,98.99888765294772,26.448736998514118,8.639511622168488,99.59855917891632,15.89981978076533,281.0,100.0,42,30,12
BATADAL,0.1,15.0,15.26207605344296,99.11012235817576,26.45094255603384,8.753781114922427,99.64320203605918,16.093709526928947,279.0,100.0,42,30,12
BATADAL,0.1,20.0,15.250470165840316,99.22135706340379,26.437462951985776,8.291619418772106,99.70272584558299,15.310006384169622,273.0,100.0,42,30,12
BATADAL,0.1,25.0,15.206273440163656,99.22135706340379,26.371027346637106,7.67972846370206,99.70272584558299,14.26098642483346,261.0,100.0,42,30,12
BATADAL,0.2,0.1,16.19673521305915,84.98331479421579,27.20797720797721,11.988034850325189,93.24287743664644,21.24468637517475,896.0,100.0,42,30,12
BATADAL,0.2,0.5,16.110887906789877,89.21023359288098,27.29283648119789,11.838534761065926,95.27804945814066,21.060277616180908,762.0,100.0,42,30,12
