dataset,method,source,Precision,Recall,F1,eTaP,eTaR,eTaF1,FPA,Scen
SWaT,ACID,this artifact,97.2884,77.6139,86.3446,88.8159,54.5781,67.6095,4.0,75.0
SWaT,GeCo,wolsing2025gecos,94.8,79.0,86.2,83.1,60.7,70.2,4.0,86.1
SWaT,SIMPLE,wolsing2025gecos,70.7,86.7,77.9,58.7,47.2,52.3,18.0,75.0
SWaT,TABOR,wolsing2025gecos,81.5,74.7,77.9,49.1,18.9,27.3,27.0,55.6
SWaT,Invariant,wolsing2025gecos,97.3,69.1,80.8,54.7,29.8,38.6,182.0,86.1
SWaT,Seq2SeqNN,wolsing2025gecos,44.0,10.9,17.5,42.8,47.2,44.9,36.0,75.0
SWaT,PASAD,wolsing2025gecos,32.4,71.5,44.6,16.0,4.9,7.5,14.0,44.4
WADI,ACID,this artifact,93.8565,47.8287,63.3663,95.6012,56.8909,71.3327,0.0,64.2857
WADI,GeCo,wolsing2025gecos,92.6,32.1,47.7,91.3,56.3,69.7,0.0,78.6
WADI,SIMPLE,wolsing2025gecos,58.2,43.6,49.8,57.0,52.1,54.4,8.0,64.3
WADI,TABOR,wolsing2025gecos,19.1,43.7,26.6,14.9,13.0,13.9,3.0,57.1
WADI,Invariant,wolsing2025gecos,90.0,21.9,35.2,92.3,32.6,48.1,2.0,42.9
WADI,Seq2SeqNN,wolsing2025gecos,44.4,13.4,20.5,45.4,31.3,37.1,7.0,64.3
WADI,PASAD,wolsing2025gecos,16.4,23.9,19.5,5.4,4.3,4.8,3.0,35.7
BATADAL,ACID,this artifact,95.4724,53.9488,68.941,98.2056,79.9675,88.1531,0.0,100.0
BATADAL,GeCo,wolsing2025gecos,93.8,73.4,82.3,97.0,88.1,92.4,0.0,100.0
BATADAL,SIMPLE,wolsing2025gecos,52.0,43.3,47.2,49.0,42.8,45.7,4.0,71.4
BATADAL,TABOR,wolsing2025gecos,78.5,6.9,12.7,77.7,14.3,24.1,2.0,14.3
BATADAL,Invariant,wolsing2025gecos,27.2,45.5,34.0,18.2,74.9,29.3,865.0,100.0
BATADAL,Seq2SeqNN,wolsing2025gecos,34.2,5.6,9.6,27.0,6.9,11.0,1.0,14.3
BATADAL,PASAD,wolsing2025gecos,20.1,52.1,29.1,10.5,21.5,14.1,32.0,78.6
HAI,ACID,this artifact,55.2339,65.4633,59.9151,53.7024,80.2809,64.3554,7.0,96.0
HAI,GeCo,wolsing2025gecos,75.4,55.5,63.9,73.8,65.4,69.4,8.0,90.0
HAI,SIMPLE,wolsing2025gecos,87.0,39.8,54.7,86.0,61.5,71.7,4.0,88.0
HAI,TABOR,wolsing2025gecos,4.8,45.1,8.7,0.0,0.0,0.0,4.0,46.0
HAI,Invariant,wolsing2025gecos,77.1,9.1,16.2,79.2,25.2,38.3,12.0,50.0
HAI,Seq2SeqNN,wolsing2025gecos,8.5,4.6,6.0,7.7,2.9,4.2,14.0,26.0
HAI,PASAD,wolsing2025gecos,3.3,12.7,5.3,1.0,2.0,1.3,51.0,16.0
