attack_id,attack_point,start_index,end_index,start_timestamp,end_timestamp,duration_steps,detected,alarm_steps
1,"[""state;P1_B2016""]",2110,2301,1594154111,1594154302,192,False,0
2,"[""state;P1_B3005""]",8890,8987,1594160891,1594160988,98,False,0
3,"[""state;P1_LCV01D""]",14350,14539,1594166351,1594166540,190,False,0
4,"[""state;P2_SCO""]",19265,19324,1594171266,1594171325,60,True,54
5,"[""state;P2_AutoSD""]",21800,21888,1594173801,1594173889,89,True,76
6,"[""state;P2_VTR02""]",46019,46101,1594327620,1594327702,83,True,36
7,"[""state;P1_B2016"", ""state;P1_PIT01""]",52679,53100,1594334280,1594334701,422,True,123
8,"[""state;P1_LCV01D""]",57545,57561,1594339146,1594339162,17,True,3
9,"[""state;P1_B3005"", ""state;P1_FT03""]",61799,62057,1594343400,1594343658,259,True,11
10,"[""state;P1_B2016""]",65699,65821,1594347300,1594347422,123,False,0
11,"[""state;P1_FCV03D"", ""state;P1_FT03""]",72119,72374,1594353720,1594353975,256,False,0
12,"[""state;P2_VTR01""]",79679,79746,1594361280,1594361347,68,True,38
13,"[""state;P1_B3004"", ""state;P1_LIT01""]",81180,81440,1594362781,1594363041,261,True,30
14,"[""state;P1_B3004""]",86590,86788,1594368191,1594368389,199,False,0
15,"[""state;P1_PCV01D"", ""state;P1_PIT01""]",95339,95759,1594376940,1594377360,421,False,0
16,"[""state;P2_AutoSD""]",103865,103909,1594385466,1594385510,45,True,24
17,"[""state;P2_AutoSD"", ""state;P2_SIT01""]",108780,108931,1594390381,1594390532,152,True,81
18,"[""state;P1_LCV01D"", ""state;P1_LIT01""]",114542,114795,1594396143,1594396396,254,True,69
19,"[""state;P1_PCV01D""]",121870,122021,1594403471,1594403622,152,False,0
20,"[""state;P2_SCO"", ""state;P2_SIT01""]",130263,130413,1594411864,1594412014,151,True,62
21,"[""state;P1_FCV03D""]",132005,132069,1594413606,1594413670,65,True,34
22,"[""state;P2_RTR""]",134523,134706,1594416124,1594416307,184,True,35
23,"[""state;P1_FCV03D""]",141672,141770,1594423273,1594423371,99,False,0
24,"[""state;P3_LCP01D""]",152702,152820,1594434303,1594434421,119,False,0
25,"[""state;P2_LCV01D""]",158162,158280,1594439763,1594439881,119,False,0
26,"[""state;P1_LCV01D"", ""state;P1_B3005""]",211865,211996,1594666266,1594666397,132,True,122
27,"[""state;P1_B2016"", ""state;P1_PIT01"", ""state;P1_B3005""]",217259,217679,1594671660,1594672080,421,True,153
28,"[""state;P1_PCV01D"", ""state;P1_LCV01D""]",227467,227655,1594681868,1594682056,189,False,0
29,"[""state;P2_AutoSD"", ""state;P2_VTR01""]",237181,237286,1594691582,1594691687,106,True,88
30,"[""state;P2_SCO"", ""state;P2_VTR02""]",238979,239062,1594693380,1594693463,84,True,84
31,"[""state;P1_B2016"", ""state;P2_AutoSD""]",248110,248347,1594702511,1594702748,238,True,80
32,"[""state;P1_FCV03D"", ""state;P2_VTR01""]",255061,255170,1594709462,1594709571,110,True,87
33,"[""state;P1_LCV01D"", ""state;P1_LIT01"", ""state;P2_AutoSD""]",262380,262634,1594716781,1594717035,255,True,224
34,"[""state;P1_PCV01D"", ""state;P1_B3004"", ""state;P1_LIT01""]",272582,272835,1595958183,1595958436,254,False,0
35,"[""state;P1_B3005"", ""state;P1_FT03"", ""state;P2_LCV01D""]",276299,276560,1595961900,1595962161,262,False,0
36,"[""state;P1_B3004"", ""state;P1_LIT01"", ""state;P2_LCV01D""]",284220,284482,1595969821,1595970083,263,True,94
37,"[""state;P2_SCO"", ""state;P2_SIT01"", ""state;P1_LCV01D"", ""state;P1_LIT01""]",290701,290958,1595976302,1595976559,258,True,125
38,"[""state;P2_AutoSD"", ""state;P2_LCV01D""]",301620,301739,1595987221,1595987340,120,True,63
39,"[""state;P1_PCV01D"", ""state;P2_VTR02""]",311159,311330,1596125760,1596125931,172,True,90
40,"[""state;P1_FCV03D"", ""state;P1_FT03"", ""state;P2_SCO""]",319202,319459,1596133803,1596134060,258,True,56
41,"[""state;P1_B3004"", ""state;P1_LIT01"", ""state;P2_SCO""]",328507,328762,1596143108,1596143363,256,True,59
42,"[""state;P1_FCV03D"", ""state;P2_LCV01D""]",334499,334618,1596149100,1596149219,120,False,0
43,"[""state;P1_B3004"", ""state;P2_AutoSD""]",337688,337890,1596152289,1596152491,203,True,65
44,"[""state;P2_SCO"", ""state;P2_SIT01"", ""state;P2_LCV01D""]",345122,345274,1596159723,1596159875,153,True,57
45,"[""state;P2_AutoSD"", ""state;P2_VTR01""]",354184,354262,1596168785,1596168863,79,True,63
46,"[""state;P1_FCV03D"", ""state;P1_LCV01D""]",361505,361555,1596176106,1596176156,51,True,38
47,"[""state;P1_B2016"", ""state;P1_PCV01D""]",364270,364510,1596178871,1596179111,241,False,0
48,"[""state;P1_B3004"", ""state;P1_LCV01D"", ""state;P1_LIT01""]",392640,392901,1596207241,1596207502,262,True,186
49,"[""state;P2_RTR"", ""state;P2_LCV01D""]",395399,395518,1596210000,1596210119,120,True,72
50,"[""state;P1_B3005"", ""state;P1_FCV03D"", ""state;P1_FT03""]",397858,398119,1596212459,1596212720,262,True,95
