dataset,setting,S,G,source,Precision,Recall,F1,eTaP,eTaR,eTaF1,FPA,Scen
SWaT,Ours,1.2,15.0,this artifact,97.2884,77.6139,86.3446,88.8159,54.5781,67.6095,4.0,75.0
SWaT,At GeCo S/G,1.42,5.98,this artifact,98.5289,75.4293,85.4455,96.9503,49.7695,65.7739,3.0,75.0
SWaT,GeCo,1.42,5.98,wolsing2025gecos,94.8,79.0,86.2,83.1,60.7,70.2,4.0,86.1
WADI,Ours,1.2,25.0,this artifact,93.8565,47.8287,63.3663,95.6012,56.8909,71.3327,0.0,64.2857
WADI,At GeCo S/G,1.32,9.74,this artifact,95.8253,40.103,56.5428,97.3593,53.7006,69.2209,0.0,64.2857
WADI,GeCo,1.32,9.74,wolsing2025gecos,92.6,32.1,47.7,91.3,56.3,69.7,0.0,78.6
BATADAL,Ours,1.4,2.0,this artifact,95.4724,53.9488,68.941,98.2056,79.9675,88.1531,0.0,100.0
BATADAL,At GeCo S/G,1.39,2.16,this artifact,94.636,54.9499,69.5285,97.1269,80.4012,87.9762,1.0,100.0
BATADAL,GeCo,1.39,2.16,wolsing2025gecos,93.8,73.4,82.3,97.0,88.1,92.4,0.0,100.0
HAI,Ours,2.5,12.0,this artifact,55.2339,65.4633,59.9151,53.7024,80.2809,64.3554,7.0,96.0
HAI,At GeCo S/G,8.02,1.44,this artifact,69.0329,28.803,40.6467,63.8542,50.16,56.1847,14.0,68.0
HAI,GeCo,8.02,1.44,wolsing2025gecos,75.4,55.5,63.9,73.8,65.4,69.4,8.0,90.0
