S,G,Prec,Rec,F1,eTaP,eTaR,eTaF1,FPA,Scen
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1,11.38294627685068,70.8955223880597,19.616308755068328,10.315768717010537,91.9949774842379,18.55130464960698,74570.0,100.0
0.0,0.5,11.757207324152375,78.12560573754604,20.438589151650223,10.004403204331451,93.417710531252,18.07328063260441,62517.0,100.0
0.0,1.0,11.96458124646139,85.20062027524715,20.98260956736346,9.297582670180384,95.0323751978236,16.93801824138068,48193.0,100.0
0.0,1.5,12.22007188277578,88.24578406667959,21.467389382304468,8.604358687248325,95.42939034454544,15.78542946825769,45817.0,100.0
0.0,2.0,12.369664353415953,90.48652839697615,21.76413407586816,8.03476107693698,95.82971413994916,14.826414047302295,43329.0,100.0
0.0,2.5,12.5219096518441,92.08761387865866,22.0460382979612,7.450738212514081,96.02054157956628,13.828454036149456,42549.0,100.0
0.0,3.0,12.657291089877996,93.490986625315,22.29603074995782,6.755350388693287,96.16436704696468,12.623897742729046,41907.0,100.0
0.0,3.5,12.750959338697603,94.42333785617367,22.467852332896705,6.202454039638238,96.21168838563716,11.653636131812894,41568.0,100.0
0.0,4.0,12.82363421203184,95.15216127156428,22.60129698819727,5.645889178992734,96.25580613775485,10.66615452469428,41302.0,100.0
0.0,4.5,12.880769742384604,95.7259158751696,22.706216910234925,5.030608732162567,96.29736855076484,9.561710321387736,41108.0,100.0
0.0,5.0,12.9202110336742,96.12521806551658,22.778728339630007,4.559632997431199,96.33147015117044,8.707133459436717,40963.0,100.0
0.0,5.98,12.957572068169815,96.545842217484,22.84859730769319,3.812941394262508,96.3532148345269,7.335594678779185,40731.0,100.0
0.0,6.0,12.95811654526535,96.55165729792596,22.849606642354185,3.812657658435564,96.37392615175968,7.335129588052054,40727.0,100.0
0.0,7.0,12.967188913262708,96.70672610971118,22.868051831378427,3.187197798370786,96.4108893351962,6.170411160929732,40556.0,100.0
0.0,8.0,12.964516606622908,96.74937003295211,22.86508759995144,3.044888719715096,96.4350875105456,5.903381188309496,40412.0,100.0
0.0,9.0,12.96237166257804,96.78813723589845,22.862833529835967,2.9263926801895592,96.49591087743876,5.680514676393141,40286.0,100.0
0.0,10.0,12.958902758930265,96.8094591975189,22.85803205085665,2.9198537705152274,96.52411647591948,5.668243227607235,40169.0,100.0
0.0,12.0,12.949494844772977,96.84434968017057,22.844366409700694,2.915729551361813,96.59154530123745,5.660587599523928,39920.0,100.0
0.0,15.0,12.934847022350809,96.88699360341153,22.822754264084438,2.9236963068842727,96.65409694975118,5.67570774678503,39539.0,100.0
0.0,20.0,12.917327246530988,96.97034308974608,22.79778342857664,2.9038667208074376,96.81140406484634,5.638603039304899,39006.0,100.0
0.0,25.0,12.898438325315825,97.03430897460748,22.7701222882017,2.8888489918150926,96.90042139608428,5.610436544297665,38508.0,100.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.1,32.952537395156675,25.663888350455515,28.8550599875775,20.152296320174496,60.01956971647673,30.173481390164053,10443.0,100.0
0.1,0.5,35.09761757755115,31.95386702849389,33.45204395336803,23.39606369052884,62.24280692155715,34.00877813090929,10296.0,100.0
0.1,1.0,38.3349240937168,41.26187245590231,39.74458312717632,24.96369994637565,64.97667935341867,36.06963500751693,9914.0,100.0
0.1,1.5,39.8281957452087,49.788718743942624,44.25492324391379,26.111890701153424,72.73929254243951,38.42868429540042,9037.0,100.0
0.1,2.0,42.07817022914914,57.199069587129294,48.48708911509296,26.679405689782826,73.34103232978624,39.12590654424082,8761.0,100.0
0.1,2.5,43.16566609303364,63.692576080635774,51.45756500904371,26.220971454690016,73.96589189866111,38.71680328498094,8382.0,100.0
0.1,3.0,44.49872875018695,69.20721069974802,54.16837346198777,24.768707561047982,74.42707914303358,37.16816246270913,8246.0,100.0
