target,variable_type,target_mode,equation,sympy_format,complexity,loss,score,holdout_r2,holdout_mae,baseline_holdout_mae,residual_tail_ratio,residual_p99,residual_median,selection_reason,pareto_csv
1_AIT_002_PV,sensor,sensors_delta_actuators_next,0.015316334 - (1_AIT_002_PV * 0.024466293),0.015316334 - 0.024466293*1_AIT_002_PV,5.0,0.00019053913,0.0059377074460042,0.011905266565121142,0.004214209608146159,0.003380437011746739,41.73000224731814,0.04844566412524087,0.0011609312608736877,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/1_AIT_002_PV_sensors_delta_actuators_next/pareto_front_scored.csv
1_AIT_004_PV,sensor,sensors_delta_actuators_next,3_AIT_004_PV * -5.4525193e-5,3_AIT_004_PV*(-5.4525193e-5),3.0,12.557456,6.342442955881606e-05,-0.00019925242967189227,0.06941528037488166,0.03447055248987107,4.910153218946012,0.19680441721105355,0.04008111528000313,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/1_AIT_004_PV_sensors_delta_actuators_next/pareto_front_scored.csv
1_AIT_005_PV,sensor,sensors_delta_actuators_next,(1_FIT_001_PV - 1_AIT_002_PV) * -3.9571616e-5,(-1_AIT_002_PV + 1_FIT_001_PV)*(-3.9571616e-5),5.0,2.9065515e-07,0.0006877478616674,0.002346338473883214,7.610015545693432e-05,4.978034394009719e-05,12.40172474664917,0.00032113827246468444,2.5894646029089863e-05,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/1_AIT_005_PV_sensors_delta_actuators_next/pareto_front_scored.csv
1_FIT_001_PV,sensor,sensors_delta_actuators_next,((1_LT_001_PV * 1_P_001_STATUS) * -0.0001994969) + 0.014458983,1_LT_001_PV*1_P_001_STATUS*(-0.0001994969) + 0.014458983,7.0,0.004393727,0.0016170210566851,-0.017932344193346328,0.006148905642507753,0.0023064574228053142,11.85813818130814,0.04562469672605617,0.0038475430146339418,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/1_FIT_001_PV_sensors_delta_actuators_next/pareto_front_scored.csv
1_LS_001_AL,sensor,sensors_delta_actuators_next,0.030378316 - 0.030378316,0.030378316 - 1*0.030378316,3.0,0.0,,-inf,0.0,0.0,0.0,0.0,0.0,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/1_LS_001_AL_sensors_delta_actuators_next/pareto_front_scored.csv
1_LS_002_AL,sensor,sensors_delta_actuators_next,-0.021763658 - -0.021763658,-0.021763658 - 1*(-0.021763658),3.0,0.0,,-inf,0.0,0.0,0.0,0.0,0.0,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/1_LS_002_AL_sensors_delta_actuators_next/pareto_front_scored.csv
2_DPIT_001_PV,sensor,sensors_delta_actuators_next,88.35751 - 2_PIT_002_PV,88.35751 - 2_PIT_002_PV,3.0,2927.9092,0.0104503929030462,0.008482119469839011,4.938381215817731,1.5891186895193876,9.66778276190117,32.154011159668016,3.3258930151368986,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/2_DPIT_001_PV_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIC_101_CO,sensor,sensors_delta_actuators_next,2_FQ_101_PV * -0.3397043,2_FQ_101_PV*(-0.3397043),3.0,0.45188272,0.0059743851039622,0.015038919404133932,0.08095919282916955,0.04305112187272657,34.150938108826395,0.8301519977538351,0.024308321929794374,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/2_FIC_101_CO_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIC_101_PV,sensor,sensors_delta_actuators_next,2_FIC_101_PV * -0.016046675,2_FIC_101_PV*(-0.016046675),3.0,0.001753709,0.0034167471369452,0.0022529161250480767,0.003105887881179579,0.001303500474077063,18.49348773225588,0.015917498872955127,0.0008607083262716433,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/2_FIC_101_PV_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIC_101_SP,sensor,sensors_delta_actuators_next,((2_MV_003_STATUS - 1_MV_001_STATUS) * (2_FIC_201_PV * (3_AIT_001_PV * 2_P_004_SPEED))) * (2.3499095 * (2_MV_009_STATUS - 2_MV_003_STATUS)),(2_MV_003_STATUS - 1_MV_001_STATUS)*2_FIC_201_PV*3_AIT_001_PV*2_P_004_SPEED*2.3499095*(-2_MV_003_STATUS + 2_MV_009_STATUS),15.0,1.0652108e-06,0.011426935029721,-9.112138177336249e-08,1.7650462760930025e-05,1.7650462760930025e-05,0.0,0.0,0.0,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/2_FIC_101_SP_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIC_201_CO,sensor,sensors_delta_actuators_next,2_FQ_201_PV * -0.25967506,2_FQ_201_PV*(-0.25967506),3.0,0.18943079,0.0059188500865977,0.011500339898068423,0.056345908969869414,0.03018756135903969,41.3791240636834,0.6583388757804386,0.015909927787916445,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/2_FIC_201_CO_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIC_201_PV,sensor,sensors_delta_actuators_next,(2_FQ_201_PV * 2_FIC_401_PV) * (-0.04007296 - 2_LS_201_AH),2_FIC_401_PV*2_FQ_201_PV*(-2_LS_201_AH - 0.04007296),7.0,0.0008890671,0.0147744799351273,0.0034190508627743865,0.0016230830681421469,0.0008561987114565757,39.845894609586814,0.011927151465070016,0.00029933200350834577,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/2_FIC_201_PV_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIC_201_SP,sensor,sensors_delta_actuators_next,((2_MV_003_STATUS - 1_P_005_STATUS) * ((2_P_004_SPEED * 3_AIT_001_PV) * 1_FIT_001_PV)) * 2_MV_101_STATUS,3_AIT_001_PV*1_FIT_001_PV*2_MV_101_STATUS*2_P_004_SPEED*(-1_P_005_STATUS + 2_MV_003_STATUS),11.0,3.511795e-07,0.0614309326411849,-2.3749495703384582e-09,1.8683861893054747e-05,1.8683861893054747e-05,0.0,0.0,0.0,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/2_FIC_201_SP_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIC_301_PV,sensor,sensors_delta_actuators_next,2_FIC_601_PV * -0.009515096,2_FIC_601_PV*(-0.009515096),3.0,0.00051570614,0.00295111827594,-0.0036792547368171835,0.0015334429714396157,0.0006560761124270145,17.746108309561812,0.008463818763178236,0.0004769394289461104,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/2_FIC_301_PV_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIC_301_SP,sensor,sensors_delta_actuators_next,1_FIT_001_PV * ((((4.6891226e-5 * 2_FIC_301_CO) * 2_LS_201_AH) * 4.6891226e-5) * (2_FIC_501_CO * 3_AIT_004_PV)),1_FIT_001_PV*4.6891226e-5*2_FIC_301_CO*2_LS_201_AH*4.6891226e-5*2_FIC_501_CO*3_AIT_004_PV,13.0,3.5543717e-06,0.0089470313365585,-0.03089857481565761,3.24333077692146e-05,2.6207009703660057e-05,0.0,0.0,0.0,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/2_FIC_301_SP_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIC_401_CO,sensor,sensors_delta_actuators_next,2_FQ_401_PV * -0.28900453,2_FQ_401_PV*(-0.28900453),3.0,0.5246867,0.003541586579607,0.006826229009644136,0.08092371734471943,0.0467282564591163,31.491561730043717,0.8776705321128684,0.027870022440822595,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/2_FIC_401_CO_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIC_401_PV,sensor,sensors_delta_actuators_next,2_FQ_401_PV * (((2B_AIT_001_PV * 2_FIC_501_SP) + -0.073952936) * 2_FIC_401_PV),2_FIC_401_PV*2_FQ_401_PV*(2B_AIT_001_PV*2_FIC_501_SP - 0.073952936),9.0,0.002193716,0.0036343826850539,-0.013681175761774744,0.002662059099400659,0.0015746874191718812,42.44627371380358,0.015823162912745374,0.00037278096587309295,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/2_FIC_401_PV_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIC_401_SP,sensor,sensors_delta_actuators_next,(3_AIT_001_PV * ((3_FIT_001_PV + -0.5745507) * (1_P_005_STATUS - 2_MV_003_STATUS))) * 1_FIT_001_PV,3_AIT_001_PV*1_FIT_001_PV*(3_FIT_001_PV - 0.5745507)*(1_P_005_STATUS - 2_MV_003_STATUS),11.0,5.680984e-06,0.0342619730311626,-2.5924091762163926e-09,2.0667989048416968e-05,2.0667989048416968e-05,0.0,0.0,0.0,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/2_FIC_401_SP_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIC_501_PV,sensor,sensors_delta_actuators_next,2_FIC_501_PV * -0.019195596,2_FIC_501_PV*(-0.019195596),3.0,0.0015614971,0.0044240223585079,-0.008057870204551287,0.0027557561194277865,0.0007605593665161111,13.110728544786658,0.012784621234796466,0.0009751266827868338,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/2_FIC_501_PV_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIC_601_CO,sensor,sensors_delta_actuators_next,2_FQ_601_PV * -0.33139205,2_FQ_601_PV*(-0.33139205),3.0,0.28533116,0.0063677450086435,-0.003617727608630883,0.05161621098346779,0.022038398213960506,38.05090530847815,0.6315703143483925,0.016598036478455924,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/2_FIC_601_CO_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIC_601_PV,sensor,sensors_delta_actuators_next,2_FIC_601_PV * -0.01591041,2_FIC_601_PV*(-0.01591041),3.0,0.0012241559,0.0036344152784116,-0.005483212904269452,0.0021881417327119027,0.000751389108802113,19.98884073391906,0.015437567946409249,0.0007723093175790452,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/2_FIC_601_PV_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIC_601_SP,sensor,sensors_delta_actuators_next,(2_MCV_201_CO * ((1_MV_001_STATUS - 2_MV_003_STATUS) * 3_AIT_001_PV)) * (-0.00017899254 * (1_MV_001_STATUS - 2_MV_003_STATUS)),2_MCV_201_CO*(-2_MV_003_STATUS + 1_MV_001_STATUS)*3_AIT_001_PV*(-0.00017899254)*(-2_MV_003_STATUS + 1_MV_001_STATUS),13.0,1.2095929e-06,0.0054301769459871,-6.51345199997877e-09,2.6868385381050525e-05,2.6868385381050525e-05,0.0,0.0,0.0,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/2_FIC_601_SP_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIT_001_PV,sensor,sensors_delta_actuators_next,(2_MV_003_STATUS - 2_FIT_001_PV) * 0.021082245,(-2_FIT_001_PV + 2_MV_003_STATUS)*0.021082245,5.0,0.016133243,0.0070312671287199,-0.027273295646444984,0.021032604410403093,0.00362316727100403,1.6244499683380147,0.03424705222274427,0.021082245,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/2_FIT_001_PV_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIT_002_PV,sensor,sensors_delta_actuators_next,2_FQ_101_PV * -0.010027352,2_FQ_101_PV*(-0.010027352),3.0,0.0003350831,0.0069430301569878,-0.0013614673729120952,0.0021144334991287103,0.0008990392724936052,19.48504475212655,0.016699927146072054,0.0008570638332380254,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/2_FIT_002_PV_sensors_delta_actuators_next/pareto_front_scored.csv
2_FIT_003_PV,sensor,sensors_delta_actuators_next,2_FIT_002_PV * 2_PIC_003_PV,2_FIT_002_PV*2_PIC_003_PV,3.0,0.015392132,0.011137917681126,0.05533701288659676,0.010690213102705948,0.0035503504322332733,4.825827196131465,0.03474007129669199,0.007198780620354728,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/2_FIT_003_PV_sensors_delta_actuators_next/pareto_front_scored.csv
2_FQ_101_PV,sensor,sensors_delta_actuators_next,2_FIC_101_PV * -0.014559889,2_FIC_101_PV*(-0.014559889),3.0,0.001944389,0.0025331873833587,0.0034545247127396594,0.0029256335435570314,0.0012954136886046928,19.51039912430314,0.015236849061989082,0.0007809603978326252,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/2_FQ_101_PV_sensors_delta_actuators_next/pareto_front_scored.csv
2_FQ_201_PV,sensor,sensors_delta_actuators_next,0.00017188098,0.000171880980000000,1.0,0.0010659321,0.0,-7.82947853235072e-05,0.001008842686493188,0.0008505767805713707,42.419670621221854,0.007291134557652697,0.00017188097999999707,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/2_FQ_201_PV_sensors_delta_actuators_next/pareto_front_scored.csv
2_FQ_301_PV,sensor,sensors_delta_actuators_next,2_FIC_301_PV * -0.009666798,2_FIC_301_PV*(-0.009666798),3.0,0.00063645205,0.0024580613818192,0.0030450564846143946,0.001537000251092177,0.0006520010116180557,17.380916905003005,0.008642684907439312,0.0004972513794684538,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/2_FQ_301_PV_sensors_delta_actuators_next/pareto_front_scored.csv
2_FQ_401_PV,sensor,sensors_delta_actuators_next,2_FQ_401_PV * -0.016482946,2_FQ_401_PV*(-0.016482946),3.0,0.001954961,0.0033313990135351,0.007234912482930622,0.003569123288719787,0.0015642590742024208,9.838222623484665,0.0148575753340765,0.0015101889744403851,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/2_FQ_401_PV_sensors_delta_actuators_next/pareto_front_scored.csv
2_FQ_501_PV,sensor,sensors_delta_actuators_next,2_FIC_501_PV * -0.014651568,2_FIC_501_PV*(-0.014651568),3.0,0.0016736946,0.0024357217029106,-0.001119777812899736,0.0022556400206599587,0.0007521859864475176,14.59205286561609,0.01086075304879186,0.0007442923315048797,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/2_FQ_501_PV_sensors_delta_actuators_next/pareto_front_scored.csv
2_FQ_601_PV,sensor,sensors_delta_actuators_next,2_FIC_601_PV * -0.021256251,2_FIC_601_PV*(-0.021256251),3.0,0.0014114892,0.0055416945748352,-0.01402993185328727,0.0027041757184966203,0.0007630464301824018,15.7930218718151,0.016811737957284148,0.0010645041901250762,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/2_FQ_601_PV_sensors_delta_actuators_next/pareto_front_scored.csv
2_LS_101_AH,sensor,sensors_delta_actuators_next,((2_FQ_301_PV * 2_MV_101_STATUS) * (2_LS_101_AH - 1_MV_004_STATUS)) * 2_LS_101_AH,2_FQ_301_PV*2_LS_101_AH*2_MV_101_STATUS*(-1_MV_004_STATUS + 2_LS_101_AH),9.0,0.0002606834,0.0366468378921435,-0.11839752299987238,0.00018240531620682864,0.00014880952380952382,0.0,0.0,0.0,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/2_LS_101_AH_sensors_delta_actuators_next/pareto_front_scored.csv
2_LS_101_AL,sensor,sensors_delta_actuators_next,(2_LS_101_AL * (3_AIT_001_PV * 2_FIC_101_PV)) * -20.992853,2_LS_101_AL*3_AIT_001_PV*2_FIC_101_PV*(-20.992853),7.0,0.00015349043,0.0997136789777,0.0,0.00013227513227513228,0.00013227513227513228,0.0,0.0,0.0,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/2_LS_101_AL_sensors_delta_actuators_next/pareto_front_scored.csv
2_LS_201_AH,sensor,sensors_delta_actuators_next,(2_LS_501_AH * 2_LS_201_AH) * (1_MV_001_STATUS - 1.9999987),2_LS_201_AH*2_LS_501_AH*(1_MV_001_STATUS - 1*1.9999987),7.0,0.0001,0.1438409862258878,0.0,0.00010747354497354498,0.00010747354497354498,0.0,0.0,0.0,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/2_LS_201_AH_sensors_delta_actuators_next/pareto_front_scored.csv
2_LS_201_AL,sensor,sensors_delta_actuators_next,(3_FIT_001_PV + -0.5867106) * 2_LS_201_AL,2_LS_201_AL*(3_FIT_001_PV - 0.5867106),5.0,0.00019668,0.007262186404997,-0.03943947503944267,0.0001950387359225324,0.00010747354497354498,0.0,0.0,0.0,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/2_LS_201_AL_sensors_delta_actuators_next/pareto_front_scored.csv
2_LS_301_AH,sensor,sensors_delta_actuators_next,(3_AIT_003_PV * ((2_FIC_201_PV * (2_FIC_301_SP * 2_LS_301_AH)) * -0.28339157)) * 2_FIT_001_PV,3_AIT_003_PV*2_FIC_201_PV*2_FIC_301_SP*2_LS_301_AH*(-0.28339157)*2_FIT_001_PV,11.0,0.00025549665,0.0332891357435065,0.0,9.093915343915344e-05,9.093915343915344e-05,0.0,0.0,0.0,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/2_LS_301_AH_sensors_delta_actuators_next/pareto_front_scored.csv
2_LS_301_AL,sensor,sensors_delta_actuators_next,(0.72565746 - 3_AIT_005_PV) * (2_LS_301_AL * (3_FIT_001_PV + -0.57262355)),2_LS_301_AL*(0.72565746 - 3_AIT_005_PV)*(3_FIT_001_PV - 0.57262355),9.0,9.090091e-05,0.0283883491592449,0.006561322567300132,9.671494757141529e-05,8.267195767195767e-05,0.0,0.0,0.0,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/2_LS_301_AL_sensors_delta_actuators_next/pareto_front_scored.csv
2_LS_401_AH,sensor,sensors_delta_actuators_next,2_LS_401_AH * (2_FIT_001_PV * ((1_FIT_001_PV * 2_MV_401_STATUS) * -0.024918532)),2_LS_401_AH*2_FIT_001_PV*1_FIT_001_PV*2_MV_401_STATUS*(-0.024918532),9.0,0.00011785205,0.0455853370015411,0.0025310286719560926,0.0001467412872067991,0.00014054232804232804,0.0,0.0,0.0,highest_score_among_stable_candidates,artifacts/wadi_1sec/delta_full/pareto_fronts/2_LS_401_AH_sensors_delta_actuators_next/pareto_front_scored.csv
