dataset,tail_bound,monitors,changed,dropped,F1,eTaF1,FPA,Scen
BATADAL,5.0,25,8,6,69.88795518207283,84.74210507989372,3.0,100.0
BATADAL,10.0,27,3,4,68.27537260468416,87.08941528826475,2.0,100.0
BATADAL,15.0,30,3,1,69.0340909090909,88.19160031202252,0.0,100.0
BATADAL,20.0,31,2,0,69.0340909090909,88.19160031202252,0.0,100.0
BATADAL,30.0,31,0,0,68.9410092395167,88.15311416292798,0.0,100.0
BATADAL,50.0,31,0,0,68.9410092395167,88.15311416292798,0.0,100.0
BATADAL,75.0,31,0,0,68.9410092395167,88.15311416292798,0.0,100.0
BATADAL,100.0,31,0,0,68.9410092395167,88.15311416292798,0.0,100.0
SWAT,5.0,8,1,8,85.67723656968508,63.14669636148069,4.0,68.75
SWAT,10.0,8,1,8,85.67723656968508,63.14669636148069,4.0,68.75
SWAT,15.0,11,2,5,86.38591944714393,67.69877722747006,5.0,75.0
SWAT,20.0,14,2,2,86.45749009703289,68.07754008511453,4.0,75.0
SWAT,30.0,14,1,2,86.4742904643154,68.0911272999472,4.0,75.0
SWAT,50.0,16,0,0,86.3457972139561,67.61114155809689,4.0,75.0
SWAT,75.0,16,1,0,86.3457972139561,67.61114155809689,4.0,75.0
SWAT,100.0,16,1,0,86.3457972139561,67.61114155809689,4.0,75.0
HAI,5.0,24,4,23,52.19598322666078,61.666927379162985,2.0,88.0
HAI,10.0,29,0,18,54.33770172208383,62.61179493297454,6.0,86.0
HAI,15.0,32,3,15,54.33770172208383,62.61179493297454,6.0,86.0
HAI,20.0,36,2,11,54.29976758013081,61.04488905573899,6.0,86.0
HAI,30.0,42,3,5,57.80779220779221,64.18635432281854,7.0,96.0
HAI,50.0,47,0,0,59.915093857091705,64.35543845842183,7.0,96.0
HAI,75.0,47,4,0,59.92122359199959,64.42719306741867,7.0,96.0
HAI,100.0,47,6,0,59.92122359199959,64.42719306741867,7.0,96.0
WADI,5.0,34,3,29,35.52060293274351,48.03524970837548,0.0,35.714285714285715
WADI,10.0,39,4,24,35.52060293274351,48.03524970837548,0.0,35.714285714285715
WADI,15.0,44,4,19,39.5625449030095,53.76914975986327,0.0,42.857142857142854
WADI,20.0,55,5,8,39.5625449030095,53.76914975986327,0.0,42.857142857142854
WADI,30.0,56,3,7,56.951494641849976,65.44163904359438,0.0,57.14285714285714
WADI,50.0,63,0,0,63.366336633663366,71.33271821430182,0.0,64.28571428571429
WADI,75.0,63,6,0,63.366336633663366,71.33271821430182,0.0,64.28571428571429
WADI,100.0,63,7,0,63.366336633663366,71.33271821430182,0.0,64.28571428571429
