dataset,target,mean_input_jaccard,identical_inputs_all3,exact_eq_pair_rate,seed0_equation,seed1_equation,seed4_equation,seed0_inputs,seed1_inputs,seed4_inputs
SWaT,AIT202,0.3333,False,0.0,((AIT203 * ((AIT203 * -2.9803743e-7) + 0.00024087902)) + -0.046792872) * 0.7563125,((P203 - P205) * (FIT301 * -0.00037107227)) + 9.8148805e-5,((498.16476 - AIT203) * -1.3074748e-7) * (332.63138 - AIT203),AIT203,FIT301;P203;P205,AIT203
SWaT,AIT203,1.0,True,0.0,(AIT202 * 0.56930953) + -4.7756815,(AIT202 * 0.5692992) + -4.7755938,(AIT202 * 0.56923807) + -4.7750854,AIT202,AIT202,AIT202
SWaT,AIT401,0.5556,False,0.0,(FIT301 * (MV304 * (MV304 * 1.11552225e-7))) * AIT401,MV304 * 2.6618334e-5,MV304 * 2.6823536e-5,AIT401;FIT301;MV304,MV304,MV304
SWaT,AIT504,0.3333,False,0.0,((FIT504 * 3.598646) - 1.1120417) * PIT502,(FIT401 + -1.7068955) * PIT502,(FIT501 + -1.719166) * PIT502,FIT504;PIT502,FIT401;PIT502,FIT501;PIT502
SWaT,DPIT301,1.0,True,0.0,P302 - ((FIT301 * 0.4284513) - -1.027144),P302 - (0.38481948 - ((FIT301 * -0.4854745) + -0.5564318)),((P302 * 1.1803535) + (FIT301 * -0.48762476)) + -1.2829031,FIT301;P302,FIT301;P302,FIT301;P302
SWaT,FIT101,0.6667,False,0.0,(LIT101 * -5.3608805e-5) + 0.031951737,(LIT101 * -5.361272e-5) + 0.031954095,(0.077602655 - (FIT101 * 0.009076225)) - (LIT101 * 0.000102262646),LIT101,LIT101,FIT101;LIT101
SWaT,FIT201,1.0,True,0.0,FIT301 * 0.0019161832,FIT301 * 0.001912743,FIT301 * 0.001912738,FIT301,FIT301,FIT301
SWaT,FIT301,0.0833,False,0.0,MV303 * -0.0026802947,(-0.15891005 - (P302 * -0.17330503)) - (FIT301 * 0.08161943),(MV302 - P403) * (-0.3244164 * (FIT301 - (3.175426 - P403))),MV303,FIT301;P302,FIT301;MV302;P403
SWaT,FIT501,0.2222,False,0.0,AIT504 * 6.7863766e-6,(((P402 - FIT501) * P402) * 0.00980321) + -0.005574413,(((0.0026638145 - (FIT501 * 0.0015505911)) * P402) * FIT301) * P402,AIT504,FIT501;P402,FIT301;FIT501;P402
SWaT,FIT502,1.0,True,0.0,(P402 - UV401) * 0.20704994,-0.21518546 * (UV401 - P402),(UV401 - P402) * -0.20711854,P402;UV401,P402;UV401,P402;UV401
SWaT,FIT504,0.3444,False,0.0,FIT502 * (0.006901001 - (FIT504 * 0.022353666)),(0.004776367 - (FIT504 * 0.015470721)) * FIT501,(((0.00045155475 - (FIT504 * 0.0014596105)) * FIT502) * AIT202) * P501,FIT502;FIT504,FIT501;FIT504,AIT202;FIT502;FIT504;P501
SWaT,FIT601,0.6667,False,0.0,((P602 - FIT601) + -0.99994063) * FIT301,FIT301 * ((MV301 + -1.3644238) * FIT601),FIT301 * (FIT601 * (MV301 - 1.3663712)),FIT301;FIT601;P602,FIT301;FIT601;MV301,FIT301;FIT601;MV301
SWaT,LIT101,1.0,True,0.0,(FIT201 - FIT101) * -0.19228067,(FIT101 - FIT201) * 0.19224785,(FIT101 - FIT201) * 0.19224775,FIT101;FIT201,FIT101;FIT201,FIT101;FIT201
SWaT,LIT301,1.0,True,0.0,(FIT301 - FIT201) * -0.18929929,(FIT301 - FIT201) * -0.1894034,0.17571595 * (FIT201 - FIT301),FIT201;FIT301,FIT201;FIT301,FIT201;FIT301
SWaT,LIT401,1.0,True,0.0,(DPIT301 * 0.022688651) - 0.38223073,(DPIT301 * 0.022689307) + -0.38224253,(DPIT301 * 0.022685975) - 0.38218087,DPIT301,DPIT301,DPIT301
WADI,1_AIT_002_PV,1.0,True,0.0,0.015316334 - (1_AIT_002_PV * 0.024466293),(1_AIT_002_PV * -0.024456225) + 0.015310581,(1_AIT_002_PV * -0.024418777) + 0.015287161,1_AIT_002_PV,1_AIT_002_PV,1_AIT_002_PV
WADI,1_AIT_004_PV,0.3333,False,0.0,3_AIT_004_PV * -5.4525193e-5,(2_MV_003_STATUS + -1.4291056) * 0.1198136,3_AIT_004_PV * -5.567073e-5,3_AIT_004_PV,2_MV_003_STATUS,3_AIT_004_PV
WADI,1_AIT_005_PV,0.6667,False,0.0,(1_FIT_001_PV - 1_AIT_002_PV) * -3.9571616e-5,(1_FIT_001_PV * -3.957114e-5) - -2.294511e-5,-3.9570234e-5 * (1_FIT_001_PV - 1_AIT_002_PV),1_AIT_002_PV;1_FIT_001_PV,1_FIT_001_PV,1_AIT_002_PV;1_FIT_001_PV
WADI,1_LS_001_AL,0.0,False,0.0,0.030378316 - 0.030378316,3_P_003_STATUS * 1_LS_001_AL,2_P_003_STATUS * 1_LS_002_AL,,1_LS_001_AL;3_P_003_STATUS,1_LS_002_AL;2_P_003_STATUS
WADI,1_LS_002_AL,0.0,False,0.0,-0.021763658 - -0.021763658,2_FIT_003_PV * 1_LS_001_AL,2_MCV_007_CO * 2_FIC_101_PV,,1_LS_001_AL;2_FIT_003_PV,2_FIC_101_PV;2_MCV_007_CO
WADI,2A_AIT_001_PV,0.0,False,0.0,1.9560876e-7,2_FIC_601_PV * (((2_FIC_201_CO * (1_MV_003_STATUS - 0.99999994)) + 0.42068678) - ((2_PIC_003_PV * -1.6370092e-5) + 0.42070028)),2_FQ_401_PV * ((((2_FQ_401_PV * 2_MV_201_STATUS) - 3_MV_003_STATUS) * -8.642252e-6) * (1_P_002_STATUS * (3_P_001_STATUS * -0.9669689))),,1_MV_003_STATUS;2_FIC_201_CO;2_FIC_601_PV;2_PIC_003_PV,1_P_002_STATUS;2_FQ_401_PV;2_MV_201_STATUS;3_MV_003_STATUS;3_P_001_STATUS
WADI,2A_AIT_002_PV,0.7778,False,0.0,((2_MCV_101_CO * -0.023470242) * 2A_AIT_002_PV) * 2A_AIT_002_PV,(2_FIC_301_CO * 2_MCV_101_CO) * (2A_AIT_002_PV * -0.00058287586),(2_MCV_101_CO * (2A_AIT_002_PV * -0.0005828744)) * 2_FIC_301_CO,2A_AIT_002_PV;2_MCV_101_CO,2A_AIT_002_PV;2_FIC_301_CO;2_MCV_101_CO,2A_AIT_002_PV;2_FIC_301_CO;2_MCV_101_CO
WADI,2A_AIT_003_PV,0.3333,False,0.0,2_FIC_201_PV * (2A_AIT_002_PV * (-0.33989054 * 2_FIT_002_PV)),((2_FIT_003_PV * -0.015941013) * 2_LS_601_AH) * 2_FIC_601_PV,((2_LS_601_AH * -0.015940964) * 2_FIC_601_PV) * 2_FIT_003_PV,2A_AIT_002_PV;2_FIC_201_PV;2_FIT_002_PV,2_FIC_601_PV;2_FIT_003_PV;2_LS_601_AH,2_FIC_601_PV;2_FIT_003_PV;2_LS_601_AH
WADI,2B_AIT_001_PV,1.0,True,0.0,2_LS_201_AH * (2_MCV_501_CO * 4.5408036e-5),(2_LS_201_AH * 2_MCV_501_CO) * 4.476557e-5,(2_MCV_501_CO * 4.599141e-5) * 2_LS_201_AH,2_LS_201_AH;2_MCV_501_CO,2_LS_201_AH;2_MCV_501_CO,2_LS_201_AH;2_MCV_501_CO
