dataset,seed,point,S,G,Precision,Recall,F1,eTaP,eTaR,eTaF1,FPA,Scen,num_monitored,source
BATADAL,0,geco,1.39,2.16,94.6360153256705,54.94994438264739,69.52850105559465,97.12694228403522,80.40123503649339,87.97618758688883,1.0,100.0,42,paper_artifacts/selected_models/batadal/detection_grid.csv
BATADAL,1,geco,1.39,2.16,94.8473282442748,55.28364849833148,69.85242445537597,97.17503807927234,80.47880595847921,88.04235085313121,1.0,100.0,42,artifacts/experiments/seed3/batadal_seed1_guarded/detection_grid.csv
BATADAL,4,geco,1.39,2.16,94.6969696969697,55.61735261401557,70.0770847932726,97.213334163103,80.69574707207686,88.18777064324283,1.0,100.0,42,artifacts/experiments/seed3/batadal_seed4/operating_points.csv
BATADAL,0,headline,1.4,2.0,95.47244094488188,53.9488320355951,68.9410092395167,98.20557673843552,79.96752456003976,88.15311416292798,0.0,100.0,42,paper_artifacts/selected_models/batadal/detection_grid.csv
BATADAL,1,headline,1.4,2.0,95.51656920077971,54.50500556173527,69.40509915014165,98.18533357755554,80.1641431010732,88.26426943231877,0.0,100.0,42,artifacts/experiments/seed3/batadal_seed1_guarded/detection_grid.csv
BATADAL,4,headline,1.4,2.0,95.54263565891472,54.83870967741935,69.68197879858657,98.237334978983,80.37715956788905,88.41430220051717,0.0,100.0,42,artifacts/experiments/seed3/batadal_seed4/operating_points.csv
HAI_R13,0,geco,8.02147642080159,1.4376682451456457,69.0329493704795,28.802950709735107,40.646687697160885,63.85422180655056,50.159992709136766,56.1847014228824,14.0,68.0,47,paper_artifacts/seed_stability_v1/hai_guarded_seed_points_exact.csv
HAI_R13,1,geco,8.02147642080159,1.4376682451456457,70.02724795640327,34.46965463283782,46.19878660774474,66.46926228512393,53.84038331722324,59.49199737604918,16.0,72.0,45,paper_artifacts/seed_stability_v1/hai_guarded_seed_points_exact.csv
HAI_R13,4,geco,8.02147642080159,1.4376682451456457,68.09464508094645,30.55772884765843,42.18484801728128,60.31298155479988,51.672055130817554,55.659145190133465,13.0,72.0,48,artifacts/experiments/seed3/hai_safe_seed4/posthoc_rosters/without_geco_ignored_detection_grid.csv
HAI_R13,0,headline,2.5,12.0,55.233874009807614,65.46328378227338,59.915093857091705,53.70241665813069,80.28086298828639,64.35543845842183,7.0,96.0,47,paper_artifacts/seed_stability_v1/hai_guarded_seed_points_exact.csv
HAI_R13,1,headline,2.5,12.0,57.12762864618664,65.88800715323572,61.195889131111805,59.43065602721671,78.11611679994834,67.50419471568637,12.0,94.0,45,paper_artifacts/seed_stability_v1/hai_guarded_seed_points_exact.csv
HAI_R13,4,headline,2.5,12.0,57.36621684504421,68.89460154241645,62.60410318911232,58.00381527928159,82.40966062829762,68.08569763572162,13.0,96.0,48,artifacts/experiments/seed3/hai_safe_seed4/posthoc_rosters/without_geco_ignored_detection_grid.csv
SWaT,0,geco,1.42,5.98,98.52892771236866,75.42934677263035,85.44546302903882,96.950318911629,49.76947827372088,65.77390213547034,3.0,75.0,39,artifacts/experiments/seed3/swat_seed0_eval/operating_points.csv
SWaT,1,geco,1.42,5.98,98.39959076293482,78.30005815080442,87.20666652274346,93.2118458891001,49.11817801024442,64.33492967417921,1.0,75.0,40,artifacts/experiments/seed3/swat_seed1_no_holdout_quality_gate/operating_points.csv
SWaT,4,geco,1.42,5.98,98.4442654314772,75.8015119209149,85.65170729570492,96.70344901558924,50.34756741390252,66.21896994236359,3.0,75.0,40,artifacts/experiments/seed3/swat_seed4_no_holdout_quality_gate/operating_points.csv
SWaT,0,headline,1.2,15.0,97.28849798338112,77.61581701880209,86.3457972139561,88.81786412944808,54.57941142623085,67.61114155809689,4.0,75.0,39,artifacts/experiments/seed3/swat_seed0_eval/operating_points.csv
SWaT,1,headline,1.2,15.0,97.32130135359772,79.43787555727855,87.47491995731058,90.44244864262669,54.24473882997874,67.815638571203,2.0,75.0,40,artifacts/experiments/seed3/swat_seed1_no_holdout_quality_gate/operating_points.csv
SWaT,4,headline,1.2,15.0,97.10431698076783,78.00155068811785,86.51094796358203,89.00997876005667,55.17457116283978,68.12224208385486,3.0,75.0,40,artifacts/experiments/seed3/swat_seed4_no_holdout_quality_gate/operating_points.csv
WADI,0,geco,1.32,9.74,95.82528957528956,40.10300949303171,56.542787982343725,97.35931695493127,53.70061291849909,69.22093765284897,0.0,64.28571428571429,98,artifacts/experiments/seed3/wadi_seed0_eval/operating_points.csv
WADI,1,geco,1.32,9.74,91.5891987605135,41.78953746717835,57.392510402219145,94.23121556776536,49.49684724810415,64.90239959521492,1.0,57.14285714285714,98,artifacts/experiments/seed3/wadi_seed1/operating_points.csv
WADI,4,geco,1.32,9.74,94.36345966958211,39.22439911129064,55.41446711371094,95.05470625275836,53.16078372311719,68.18697130495349,1.0,64.28571428571429,97,artifacts/experiments/seed3/wadi_seed4_eval/operating_points.csv
WADI,0,headline,1.2,25.0,93.85652001585414,47.82872147041002,63.366336633663366,95.60123530161296,56.89088233521071,71.33271821430182,0.0,64.28571428571429,98,artifacts/experiments/seed3/wadi_seed0_eval/operating_points.csv
WADI,1,headline,1.2,25.0,89.5017793594306,45.71803676025045,60.52139037433155,91.04837939219536,51.70964719579182,65.9588772504817,2.0,57.14285714285714,98,artifacts/experiments/seed3/wadi_seed1/operating_points.csv
WADI,4,headline,1.2,25.0,92.34126984126983,47.00060593819431,62.29420425645831,92.47638387180277,56.383029009459406,70.05399972513379,1.0,64.28571428571429,97,artifacts/experiments/seed3/wadi_seed4_eval/operating_points.csv
