target,variable_type,target_mode,equation,sympy_format,complexity,loss,score,holdout_r2,holdout_mae,baseline_holdout_mae,residual_tail_ratio,residual_p99,residual_median,selection_reason,pareto_csv
L_T1,sensor,sensors_delta_actuators_next,(F_PU1 * -0.018509276) - -1.8689289,F_PU1*(-0.018509276) - 1*(-1.8689289),5.0,0.020684717,0.4254906472301026,0.6093577949599578,0.1201319366309239,0.195285534205502,3.2443263748671884,0.3321866752132318,0.1023900301112061,highest_score_among_stable_candidates,artifacts/batadal/delta_full/pareto_fronts/L_T1_sensors_delta_actuators_next/pareto_front_scored.csv
L_T2,sensor,sensors_delta_actuators_next,S_V2 + -0.7296837,S_V2 - 0.7296837,3.0,0.07876621,0.4959860627738722,0.6329362486388168,0.2250729220399547,0.379075221173023,3.732356656969232,0.7296851305114744,0.1955025196075439,highest_score_among_stable_candidates,artifacts/batadal/delta_full/pareto_fronts/L_T2_sensors_delta_actuators_next/pareto_front_scored.csv
L_T3,sensor,sensors_delta_actuators_next,S_PU4 + -0.4228445,S_PU4 - 0.4228445,3.0,0.05136279,0.5163577927479323,0.6321403815481337,0.1607360417229726,0.3576700373055184,6.739641591963922,0.7881756110169982,0.1169462203979492,highest_score_among_stable_candidates,artifacts/batadal/delta_full/pareto_fronts/L_T3_sensors_delta_actuators_next/pareto_front_scored.csv
L_T4,sensor,sensors_delta_actuators_next,S_PU7 + -0.8458245,S_PU7 - 0.8458245,3.0,0.14333263,0.2030112335591935,0.3257127298102422,0.2692528233391226,0.3324760555132339,6.371371477956238,1.2681558525697327,0.1990396976470947,highest_score_among_stable_candidates,artifacts/batadal/delta_full/pareto_fronts/L_T4_sensors_delta_actuators_next/pareto_front_scored.csv
L_T5,sensor,sensors_delta_actuators_next,S_PU8 - 0.59500384,S_PU8 - 1*0.59500384,3.0,0.07951252,0.5447463400562016,0.6858794854568699,0.1845490824352804,0.4515190657959681,8.380126141404594,1.0050937047308346,0.119937777519226,highest_score_among_stable_candidates,artifacts/batadal/delta_full/pareto_fronts/L_T5_sensors_delta_actuators_next/pareto_front_scored.csv
L_T6,sensor,sensors_delta_actuators_next,(L_T7 * -0.12331614) - -0.40589386,L_T7*(-0.12331614) - 1*(-0.40589386),5.0,0.014916413,0.2390454023057379,0.4130395576430216,0.0961071213349747,0.1037271112611849,3.986097791107716,0.3137313453687098,0.0787063844917677,highest_score_among_stable_candidates,artifacts/batadal/delta_full/pareto_fronts/L_T6_sensors_delta_actuators_next/pareto_front_scored.csv
L_T7,sensor,sensors_delta_actuators_next,S_PU10 - 0.813014,S_PU10 - 1*0.813014,3.0,0.26933625,0.2649085472280736,0.43651015063671,0.3779210351129558,0.4966634475205043,4.764365050630201,1.4544027453079218,0.3052668571472168,highest_score_among_stable_candidates,artifacts/batadal/delta_full/pareto_fronts/L_T7_sensors_delta_actuators_next/pareto_front_scored.csv
F_PU1,sensor,sensors_delta_actuators_next,L_T1 + -2.669049,L_T1 - 2.669049,3.0,20.726383,0.0478842950071564,0.0972698159432704,2.138440510402553,1.852568953004602,16.854552680878445,21.54622429524452,1.278362274169922,highest_score_among_stable_candidates,artifacts/batadal/delta_full/pareto_fronts/F_PU1_sensors_delta_actuators_next/pareto_front_scored.csv
F_PU2,sensor,sensors_delta_actuators_next,32.344326 - P_J269,32.344326 - P_J269,3.0,327.8782,0.0459598781073133,0.0909540858015235,7.670337496632406,4.398262759866236,23.809450915382808,87.59544485113526,3.6790199472656298,highest_score_among_stable_candidates,artifacts/batadal/delta_full/pareto_fronts/F_PU2_sensors_delta_actuators_next/pareto_front_scored.csv
F_PU3,sensor,sensors_delta_actuators_next,0.0,0.0,1.0,0.0,0.0,-inf,0.0,0.0,0.0,0.0,0.0,highest_score_among_stable_candidates,artifacts/batadal/delta_full/pareto_fronts/F_PU3_sensors_delta_actuators_next/pareto_front_scored.csv
