dataset,variant,S,G,point_kind,num_monitored,monitored_symbolic,monitored_persistence,Precision,Recall,F1,eTaP,eTaR,eTaF1,FPA,Scen,TP,FP,TN,FN
HAI,without_geco_ignored,0.1,0.1,grid,47,45,2,3.684210526315789,90.3654856376439,7.07977775539959,1.273949635196718,95.02919134953332,2.514194291377742,35833.0,100.0,8085,211365,181688,862
HAI,without_geco_ignored,0.1,0.5,grid,47,45,2,3.36781637372425,92.13144070638202,6.498098184899785,1.2510304878098355,95.90827428116954,2.469844251032128,28991.0,100.0,8243,236515,156538,704
HAI,without_geco_ignored,0.1,1.0,grid,47,45,2,3.2289473175820564,93.40561081926904,6.242110530993942,1.1638317007275525,96.4966401296692,2.299924354075307,25297.0,100.0,8357,250458,142595,590
HAI,without_geco_ignored,0.1,1.5,grid,47,45,2,3.1609119835906063,94.04269587571254,6.11624796464294,1.163834891776366,96.82550712648325,2.3000236818968256,23797.0,100.0,8414,257775,135278,533
HAI,without_geco_ignored,0.1,2.0,grid,47,45,2,3.1147299388401737,94.48977310830446,6.030666947251281,1.09269800869881,97.0290838525036,2.1610591389682554,22724.0,100.0,8454,262966,130087,493
HAI,without_geco_ignored,0.1,2.5,grid,47,45,2,3.08186102578626,94.8697887560076,5.969792344346175,1.0764646865593703,97.22606642622148,2.1293536582659884,21949.0,100.0,8488,266930,126123,459
HAI,without_geco_ignored,0.1,3.0,grid,47,45,2,3.0544264788712185,95.16038895719235,5.918871006986687,0.9995278323515552,97.36360796779888,1.9787420405080616,21378.0,100.0,8514,270229,122824,433
HAI,without_geco_ignored,0.1,3.5,grid,47,45,2,3.0276027336469333,95.31686598859952,5.868791763871971,1.0126936307995995,97.43183037203724,2.004552209568626,20825.0,100.0,8528,273147,119906,419
HAI,without_geco_ignored,0.1,4.0,grid,47,45,2,3.0061664953751284,95.46216608919192,5.828780842344479,1.0098737833316778,97.49325900174814,1.9990407113700157,20392.0,100.0,8541,275575,117478,406
HAI,without_geco_ignored,0.1,4.5,grid,47,45,2,2.989678117959376,95.66335084385828,5.798151961846954,0.973090596251864,97.5912692243357,1.9269672431565723,20013.0,100.0,8559,277726,115327,388
HAI,without_geco_ignored,0.1,5.0,grid,47,45,2,2.973214006863933,95.76394322119144,5.7673667205169625,0.9823447348925654,97.6430973638111,1.9451204588354936,19679.0,100.0,8568,279605,113448,379
HAI,without_geco_ignored,0.1,6.0,grid,47,45,2,2.947464507915156,95.99865876830222,5.719327451306809,0.9869540501445936,97.74509196091437,1.9541763447660063,19129.0,100.0,8589,282814,110239,358
HAI,without_geco_ignored,0.1,7.0,grid,47,45,2,2.9264776876474627,96.2110204537834,5.680179749182583,1.009088199024205,97.84878622288176,1.9975759350227904,18607.0,100.0,8608,285534,107519,339
HAI,without_geco_ignored,0.1,8.0,grid,47,45,2,2.912464104580104,96.46808986252375,5.65422183207007,0.9651479820796068,97.9337025461476,1.9114583210048783,18208.0,100.0,8631,287716,105337,316
