complexity,loss,equation,score,fit_r2_against_constant,holdout_r2_against_constant,equation_features
1,0.023046266,-0.00031084404,0.0,-3.641487111849528e-11,-0.0001200843884441,
3,0.014135407,P101 - P205,0.2444104880764989,0.3866510586638859,0.3834163904166998,"P101,P205"
5,0.011066124,(P205 - P101) * -2.0249624,0.122397117298948,0.5198301950328168,0.5138757860484628,"P101,P205"
7,0.010370245,P101 - ((FIT201 * 0.41710925) + 0.9868513),0.0324739510506567,0.5500249566044578,0.613221348335658,"P101,FIT201"
9,0.00424708,(((FIT201 * 0.41127345) + 0.997368) - P101) * -2.3390653,0.446354479913206,0.815715041835914,0.8962067380255372,"P101,FIT201"
11,0.0042446232,(((FIT201 * 0.41126654) - P101) + 0.9974007) * (AIT202 * -0.27858207),0.0002893177034907,0.8158216574724568,0.8958991708292003,"P101,AIT202,FIT201"
13,0.0037803915,(((MV201 * 0.12727551) + ((FIT201 * 0.358478) + 0.8715576)) - P101) * -2.7351706,0.0579127384379096,0.8359650845440533,0.8986327281889537,"P101,FIT201,MV201"
15,0.0035658218,((MV201 * 0.19745123) + ((FIT201 * 0.3296201) + (0.8029214 - P101))) * (-3.4500585 / P203),0.029216514730992,0.8452755164983349,0.8683184915534494,"P101,FIT201,MV201,P203"
17,0.0028889778,(((FIT201 * 0.41021222) + 0.999959) + (((FIT301 * (MV201 - P101)) * 0.1747183) - P101)) * -2.3475041,0.1052459045500969,0.8746444610838372,0.8979008117891103,"P101,FIT201,MV201,FIT301"
19,0.0028594958,((((((MV201 - P101) * FIT301) * FIT301) / AIT504) - P101) + (P403 + (FIT201 * 0.41019213))) * -2.3458765,0.0051287107754171,0.8759237107338503,0.8947702728946543,"P101,FIT201,MV201,FIT301,P403,AIT504"
21,0.0028324137,((((MV201 * 0.9876323) - P101) * ((FIT301 / AIT504) * 2.2838244)) + ((1.0024477 - P101) + (FIT201 * 0.4130365))) * -2.3252358,0.004758034956338,0.8770988462600307,0.8947191605700153,"P101,FIT201,MV201,FIT301,AIT504"
23,0.0028079313,(((P404 + (((((FIT101 * -0.4952287) - -2.435322) / AIT504) * (MV201 - P101)) * FIT301)) + (FIT201 * 0.41019365)) - P101) * -2.3446872,0.0043406128094616,0.8781611493655941,0.8869689947405852,"FIT101,P101,FIT201,MV201,FIT301,P404,AIT504"
25,0.002807912,((P404 + (((((FIT101 * -0.4952287) - -2.435322) / (-0.053931754 + AIT504)) * ((MV201 - P101) * FIT301)) + (FIT201 * 0.41019365))) - P101) * -2.3446872,3.436705579040011e-06,0.87816198962796,0.8865504831622186,"FIT101,P101,FIT201,MV201,FIT301,P404,AIT504"
