complexity,loss,equation,score,fit_r2_against_constant,holdout_r2_against_constant,equation_features
1,0.015666481,-0.011204778,0.0,-3.005462545502269e-11,-0.0526482563772616,
3,0.009177396,P101 - P205,0.2673899788226794,0.4142018410620963,0.3288586704111813,"P101,P205"
5,0.008010499,(P101 - P205) / 0.61275184,0.0679952239970319,0.4886854915428066,0.4059167443094629,"P101,P205"
7,0.006987842,MV201 - ((P205 * P205) / P101),0.0682906372205854,0.5539622964496524,0.5540308699676231,"P101,MV201,P205"
9,0.004811721,(P101 - P205) - ((UV401 - P205) * FIT201),0.1865584827228258,0.6928652389063659,0.6606780276002733,"P101,FIT201,P205,UV401"
11,0.0020944937,((P101 - P205) * 1.9689939) - ((UV401 - P205) * FIT201),0.4158714814294976,0.86630734688418,0.8089096437021148,"P101,FIT201,P205,UV401"
13,0.0020042835,((P101 - P203) * UV401) + (-0.009271819 - (FIT201 * (UV401 - P205))),0.0220126066198444,0.8720655237065273,0.7849277649610934,"P101,FIT201,P203,P205,UV401"
15,0.001927981,(P101 - ((P205 - (((P205 - UV401) * 0.4648112) * FIT201)) - -0.005185701)) * 1.9358386,0.0194066494574769,0.8769359354370025,0.7829271652560537,"P101,FIT201,P205,UV401"
17,0.0018726833,((P101 - P205) - (((MV201 - P205) * (FIT201 - 0.2793389)) * (P101 - 1.5902098))) / 0.5670306,0.0145505096145218,0.8804656244472189,0.8140279831347041,"P101,FIT201,MV201,P205"
19,0.0015800653,((P101 - P205) - (((P302 - 1.5103313) * ((FIT201 * (MV201 - P205)) - 0.031753384)) - -0.015621794)) * 1.8341902,0.0849530734200961,0.8991435728585555,0.8265468793076699,"P101,FIT201,MV201,P205,P302"
21,0.0015367502,(((P101 - P205) - (((FIT201 * (MV201 - P205)) - 0.037301898) * (P302 - 1.518037))) * 1.8259588) - (MV201 * 0.01784222),0.0138981241745078,0.90190840481371,0.8365093856880308,"P101,FIT201,MV201,P205,P302"
23,0.0012293357,((P101 - P205) - (((P302 - 1.5862807) * (((FIT201 - -0.30867386) * (MV201 - P205)) - 0.045890942)) - -0.019508183)) * (MV302 + 0.3635354),0.1115979923813424,0.9215308531106916,0.8363117852503552,"P101,FIT201,MV201,P205,MV302,P302"
25,0.0012033575,((P101 - P205) - (((P302 - 1.5954008) * (((MV201 - P205) * (FIT201 - -0.301488)) - 0.0505243)) - (MV201 * -0.011244655))) * (MV302 + 0.36416355),0.0106791878047821,0.9231890449102113,0.8491739058218487,"P101,FIT201,MV201,P205,MV302,P302"
