complexity,loss,equation,score,fit_r2_against_constant,holdout_r2_against_constant,equation_features
1,9.547291,0.040128384,0.0,-5.398381741628101e-10,-0.0039393907688227,
3,4.1181836,FIT101 - FIT201,0.4204226284845315,0.5686542893328341,0.5613095743124537,"FIT101,FIT201"
5,2.4425564,(FIT101 - FIT201) / 0.51438826,0.2611834982991055,0.7441623369940487,0.7382496087130603,"FIT101,FIT201"
7,2.441314,(FIT601 + 1.9433067) * (FIT101 - FIT201),0.0002543884102247,0.7442924773023748,0.7381341068713294,"FIT101,FIT201,FIT601"
9,2.4380167,((P101 * (FIT201 * -0.50450295)) + FIT101) * 1.934485,0.0006757690151887,0.7446378628325936,0.7375118887515413,"FIT101,P101,FIT201"
11,2.4266558,((FIT101 * 6.08207) / (FIT101 + 0.590629)) + (FIT201 * -1.9564157),0.0023353927020436,0.7458277861134723,0.7366049073148835,"FIT101,FIT201"
13,2.423418,((FIT101 / (FIT101 + 0.6210958)) * 6.1354737) + (P203 * (FIT201 * -0.97817343)),0.0006675775698476,0.7461669318927117,0.7357106763780883,"FIT101,FIT201,P203"
15,2.4222224,((FIT101 / (FIT101 + 0.5423875)) * 5.984896) + (((FIT201 / -0.64596933) - P101) + 1.004013),0.0002467372577342,0.7462921479399935,0.7365799810706611,"FIT101,P101,FIT201"
17,2.4212563,((((FIT101 / (FIT101 + 0.5567551)) + (FIT201 * -0.18925613)) * 6.0161624) + (2.0011978 - P101)) - P205,0.0001994640779182,0.7463933697070313,0.7361317277807646,"FIT101,P101,FIT201,P205"
19,2.4182656,((UV401 - P203) + (((3.2583418 / (FIT101 - -0.0025228797)) + 0.66476494) * FIT101)) + ((FIT201 / -0.87527025) - P101),0.000617974345918,0.7467066505593415,0.7369418841187851,"FIT101,P101,FIT201,P203,UV401"
21,2.4170582,((UV401 + ((((2.9208462 / ((0.07681928 / LIT401) + FIT101)) + 0.79301447) * FIT101) + (FIT201 / -0.8736689))) - P203) - P101,0.0002497040684419,0.7468331161940007,0.7373019862958533,"FIT101,P101,FIT201,P203,LIT401,UV401"
23,2.4168248,(((2.6948063 / ((0.07346069 / LIT401) + FIT101)) + 0.88291705) * FIT101) + ((((FIT501 - -0.25970966) + (FIT201 / -0.87817264)) - P203) - P101),4.828416413501329e-05,0.746857542661376,0.7375498428762396,"FIT101,P101,FIT201,P203,LIT401,FIT501"
25,2.4168108,(FIT101 * ((2.6948063 / ((0.07346069 / (LIT301 * -2.3567133)) + FIT101)) + 0.88291705)) + (((FIT501 - -0.25970966) + ((FIT201 / -0.87817264) - P203)) - P101),2.896370591133545e-06,0.7468590304064376,0.7375503331960819,"FIT101,P101,FIT201,P203,LIT301,FIT501"
