complexity,loss,equation,score,fit_r2_against_constant,holdout_r2_against_constant,equation_features
1,22.318932,-0.8095675,0.0,-5.249211731950254e-09,-0.0186878516277855,
3,19.707485,FIT101 - FIT201,0.0622183870429174,0.1170059827088904,0.0646785264992995,"FIT101,FIT201"
5,18.729729,(FIT101 / P101) - FIT301,0.0254432326177242,0.1608145034902376,0.0145904500491055,"FIT101,P101,FIT301"
7,17.713743,(FIT101 / (MV303 - -0.098898225)) - FIT201,0.0278856343005075,0.2063356144481725,0.0421162650944149,"FIT101,FIT201,MV303"
9,16.687607,((MV101 / (MV303 - -0.22811624)) - P101) * 3.2232504,0.0298372154293468,0.2523115970973112,-0.0027515635681825,"MV101,P101,MV303"
11,16.19489,(LIT101 / PIT503) * ((MV101 / (MV303 - -0.24952509)) - P101),0.0149852938722629,0.2743879450671315,0.0432073686366641,"LIT101,MV101,P101,MV303,PIT503"
13,15.909916,AIT504 * (((MV101 / (MV303 - -0.24952509)) - P101) / (FIT201 - -1.9920399)),0.0088765988714747,0.2871560954440469,0.0074731504567066,"MV101,P101,FIT201,MV303,AIT504"
15,15.536626,(((MV101 / (MV303 - -0.27716795)) - P101) * AIT504) / (FIT201 + (MV301 * 1.9723413)),0.011871179194202,0.3038813817141846,0.0088844251013882,"MV101,P101,FIT201,MV301,MV303,AIT504"
17,15.42758,(((((1.1404063 - MV304) + MV101) / ((PIT502 * MV303) - -0.21226671)) - P101) / 0.16486579) / P203,0.0035216937520591,0.3087672444154505,-0.0409558369331561,"MV101,P101,P203,MV303,MV304,PIT502"
19,15.358769,(((((MV101 + (1.6173729 - MV304)) / ((PIT502 * MV303) - -0.24174139)) - P101) / 0.18162042) - P302) / P203,0.0022351177331066,0.3118502326751247,-0.0430914802585498,"MV101,P101,P203,MV303,MV304,P302,PIT502"
21,15.105658,P302 * (((((((MV101 + (2.060361 - MV304)) / (MV303 - -0.22529766)) / PIT502) - P101) / 0.30744064) - FIT301) / P203),0.0083086028271718,0.3231909658454254,-0.0900515733725593,"MV101,P101,P203,FIT301,MV303,MV304,P302,PIT502"
23,14.828663,P302 * ((((((((MV101 - (MV304 * MV301)) + 2.0622554) / (MV303 - -0.22830917)) / PIT502) - P101) / 0.3071435) - FIT301) / P203),0.0092536893148904,0.3356016593950395,-0.0891767594362844,"MV101,P101,P203,FIT301,MV301,MV303,MV304,P302,PIT502"
25,14.8025,(P302 * (((((((1.83287 - (MV301 * MV304)) + MV101) / (MV303 - -0.21487574)) / PIT502) - P101) / 0.29563385) - (FIT301 * 0.76873606))) / P203,0.0008829557854001,0.336773925139085,-0.080489584211397,"MV101,P101,P203,FIT301,MV301,MV303,MV304,P302,PIT502"
