complexity,loss,equation,score,fit_r2_against_constant,holdout_r2_against_constant,equation_features
1,22.974892,LIT101,0.0,0.99814369758736,0.9952166251467184,LIT101
3,21.261312,LIT101 - FIT301,0.0387564421619263,0.9982821496537356,0.9948173466066446,"LIT101,FIT301"
5,19.707483,(FIT101 + LIT101) - FIT201,0.0379453359046766,0.9984076939527156,0.9955297482820106,"FIT101,LIT101,FIT201"
7,17.043665,((14.760165 / P101) + LIT101) * 0.9830366,0.0726099154509281,0.998622922807632,0.9954348001111478,"LIT101,P101"
9,15.161317,(46.513268 / (MV303 + P101)) + (LIT101 * 0.9694014),0.0585156653210321,0.9987750109812142,0.996174004316901,"LIT101,P101,MV303"
11,14.54199,((43.883118 / (P101 + MV303)) + (LIT101 - FIT301)) * 0.9746399,0.0208534616137847,0.9988250506464772,0.9958251108222882,"LIT101,P101,FIT301,MV303"
13,14.207513,(LIT101 * 0.97475505) + ((42.802666 / (MV303 + P101)) - (MV304 * FIT301)),0.0116347086829548,0.998852074548176,0.9958246515554396,"LIT101,P101,FIT301,MV303,MV304"
15,13.846768,((LIT101 - FIT301) + (41.529682 / ((MV303 + P101) + (MV301 - P602)))) * 0.9759845,0.0128595305989241,0.9988812224993976,0.9958224194682304,"LIT101,P101,FIT301,MV301,MV303,P602"
17,13.846145,((40.809784 / ((MV303 + MV301) + (P101 - P602))) + ((LIT101 - FIT301) + 0.3191687)) * 0.97593325,2.2496730485004157e-05,0.9988812728803632,0.9958449838895044,"LIT101,P101,FIT301,MV301,MV303,P602"
19,13.571208,(((P101 + MV303) * -6.6366925) + ((LIT101 * 0.974599) + 133.54262)) + ((AIT503 / -2.7004168) - (FIT301 * MV304)),0.0100281823790037,0.9989034851406736,0.9961138083718682,"LIT101,P101,FIT301,MV303,MV304,AIT503"
21,13.442946,((133.23253 - (PIT502 * (FIT301 * MV304))) + ((AIT503 / -2.7112486) + ((MV303 + P101) * -6.5698547))) + (LIT101 * 0.97446597),0.0047479911390127,0.9989138506434728,0.9960007226995266,"LIT101,P101,FIT301,MV303,MV304,AIT503,PIT502"
23,13.160055,((AIT503 / -2.7418706) + ((LIT101 * 0.9741735) + (((P101 + MV303) * -7.629889) + 133.3787))) - (((FIT301 * MV304) - MV201) * P101),0.0106342011419015,0.9989367066933796,0.9960673577105604,"LIT101,P101,MV201,FIT301,MV303,MV304,AIT503"
25,13.054259,((((AIT503 / -2.6954775) - ((((FIT301 * MV304) - MV201) * P101) * MV304)) + LIT101) * 0.9738256) + (((MV303 + P101) * -7.8480144) + 133.318),0.0040358322708381,0.99894525404208,0.9960688661017658,"LIT101,P101,MV201,FIT301,MV303,MV304,AIT503"
