sensor,target_source,geco_reference_available,geco_variables,simplest_nonconstant_equation,score_selected_equation,lowest_loss_equation,best_local_physical_equation,best_local_features,best_local_holdout_r2,score_selected_holdout_r2,lowest_loss_holdout_r2,OLS_local_holdout_r2,Ridge_local_holdout_r2,notes
FIT101,actual_next,True,"FIT101, LIT101, MV101, LIT401",FIT101,(MV101 * ((MV101 * 2.1472776) - 3.9009604)) + 1.7556244,((FIT101 / 0.65402454) * ((FIT101 / -5.4083548) + 0.5443133)) + ((((MV101 * 2.2099319) - 4.3848996) * (MV101 + (FIT101 * (PIT502 * 0.10203316)))) + 2.175938),(FIT101 * (((FIT101 / -5.3998084) + 0.5232081) / 0.67895335)) + ((((FIT101 * 0.09865963) + MV101) * ((MV101 * 2.241143) - 4.3972974)) + 2.157097),"FIT101, MV101",0.9964411925718624,0.9939732884159656,0.9967643800171452,0.9778857996196773,0.9778787688760148,score=local; lowest=partially_local off=['PIT502']; PySR input was unconstrained over all selected/current features
FIT101,actual_delta,True,"FIT101, LIT101, MV101, LIT401",FIT101 * -0.0040042163,((FIT101 + -1.6128936) * (MV101 + (-0.43293434 - FIT101))) + 0.9112,(((P502 / P203) + ((FIT201 + -1.6785208) / ((FIT101 + 0.39252347) * PIT502))) * (((MV101 - FIT101) * (FIT101 + -0.89693755)) + 0.89721435)) * 1.0628624,((FIT101 + -1.6128936) * (MV101 + (-0.43293434 - FIT101))) + 0.9112,"FIT101, MV101",0.6298376375162578,0.6298376375162578,0.7763306721986447,0.1721304899767857,0.1712996440871486,"score=local; lowest=partially_local off=['FIT201', 'P203', 'P502', 'PIT502']; PySR input was unconstrained over all selected/current features"
FIT101,mlp_next,True,"FIT101, LIT101, MV101, LIT401",FIT101,(MV101 + 1.2239339) - (MV101 / (FIT101 + 0.46254376)),((MV101 + (0.16063842 - ((P501 + (MV302 * 0.03252018)) * (MV101 / (MV101 + ((FIT101 - -0.015906489) * 0.4049374)))))) * MV101) - (FIT401 * -0.5515504),((MV101 - ((MV101 * 2.0849125) / (MV101 + ((FIT101 * 0.39377946) + 0.45582333)))) + 0.46253872) * 2.0399513,"FIT101, MV101",0.9858482999671956,0.9843407808113376,0.9859313236315296,0.9831073777309944,0.983104201228151,"score=local; lowest=partially_local off=['FIT401', 'MV302', 'P501']; PySR input was unconstrained over all selected/current features"
FIT101,mlp_delta,True,"FIT101, LIT101, MV101, LIT401",MV304 * 0.028993154,(((MV101 + -1.3854339) * MV101) + 0.451866) + (FIT101 * -0.6535332),(PIT502 * ((MV304 * 0.068433106) - (FIT301 * 0.01309493))) + (((MV101 + ((FIT101 * -0.34660807) + -1.1341095)) * (MV101 - (1.1719314 - FIT101))) * 0.60171235),(((MV101 + -1.3854339) * MV101) + 0.451866) + (FIT101 * -0.6535332),"FIT101, MV101",0.1715090562199602,0.1715090562199602,0.2956603995547839,0.0118154764532728,0.0107966567035991,"score=local; lowest=partially_local off=['FIT301', 'MV304', 'PIT502']; PySR input was unconstrained over all selected/current features"
LIT101,actual_next,True,"LIT101, FIT101, P101, FIT201",LIT101,LIT101 - (FIT201 - FIT101),((LIT101 - ((((2.7371554 - ((FIT101 * 0.5324414) + -1.7403817)) - (P101 * 1.2340932)) * (FIT201 - FIT101)) - 0.16198823)) - -0.7793797) + -0.8392666,LIT101 - ((FIT201 - FIT101) * 1.9435309),"FIT101, LIT101, FIT201",0.999812263690653,0.9996853587964816,0.9998114644962328,0.9998126197037014,0.9998126196836216,score=local; lowest=local; PySR input was unconstrained over all selected/current features
LIT101,actual_delta,True,"LIT101, FIT101, P101, FIT201",FIT101 - FIT201,FIT101 - FIT201,(FIT101 * ((2.6948063 / ((0.07346069 / (LIT301 * -2.3567133)) + FIT101)) + 0.88291705)) + (((FIT501 - -0.25970966) + ((FIT201 / -0.87817264) - P203)) - P101),(FIT101 - FIT201) / 0.51438826,"FIT101, FIT201",0.7382496087130603,0.5613095743124537,0.7375503331960819,0.7387437052383785,0.7387436798282797,"score=local; lowest=partially_local off=['FIT501', 'LIT301', 'P203']; PySR input was unconstrained over all selected/current features"
LIT101,mlp_next,True,"LIT101, FIT101, P101, FIT201",LIT101,((14.760165 / P101) + LIT101) * 0.9830366,((((AIT503 / -2.6954775) - ((((FIT301 * MV304) - MV201) * P101) * MV304)) + LIT101) * 0.9738256) + (((MV303 + P101) * -7.8480144) + 133.318),(FIT101 + LIT101) - FIT201,"FIT101, LIT101, FIT201",0.9955297482820106,0.9954348001111478,0.9960688661017658,0.9959404456260862,0.9959416066308536,"score=local; lowest=partially_local off=['AIT503', 'FIT301', 'MV201', 'MV303', 'MV304']; PySR input was unconstrained over all selected/current features"
LIT101,mlp_delta,True,"LIT101, FIT101, P101, FIT201",FIT101 - FIT201,FIT101 - FIT201,(P302 * (((((((1.83287 - (MV301 * MV304)) + MV101) / (MV303 - -0.21487574)) / PIT502) - P101) / 0.29563385) - (FIT301 * 0.76873606))) / P203,FIT101 - FIT201,"FIT101, FIT201",0.0646785264992995,0.0646785264992995,-0.080489584211397,0.1506097243575258,0.1508524954155037,"score=local; lowest=partially_local off=['FIT301', 'MV301', 'MV303', 'MV304', 'P203', 'P302', 'PIT502']; PySR input was unconstrained over all selected/current features"
AIT201,actual_next,False,,AIT201,(AIT201 + (((-0.013863628 - P202) * -0.21105632) * (0.005194333 / (((MV201 * -0.6830959) / ((LIT401 + (-0.8445628 / PIT502)) - LIT401)) + 0.004045063)))) / P202,(AIT201 + (((-0.013863628 - P202) * -0.21105632) * (0.005194333 / (((MV201 * -0.6830959) / ((LIT401 + (-0.8445628 / PIT502)) - LIT401)) + 0.004045063)))) / P202,,,,0.9361609019223468,0.9361609019223468,,,score=unknown_support; lowest=unknown_support; PySR input was unconstrained over all selected/current features
AIT201,actual_delta,False,,FIT201 * -0.0016517341,FIT201 / ((AIT203 / -0.39675868) + LIT101),(((MV101 / (MV201 - -0.01972221)) * (((FIT201 / (((AIT203 / -0.38977265) + LIT101) + 15.295308)) / (FIT201 - 0.00036843424)) - -0.005122264)) + -0.0027868266) * FIT301,,,,-0.2386070081253986,0.0432055257573102,,,score=unknown_support; lowest=unknown_support; PySR input was unconstrained over all selected/current features
