variable,type,unique_values,min,max
L_T1,sensor,8760,0.32011184096336365,4.871329307556152
L_T2,sensor,8756,0.2938758134841919,5.663802146911621
L_T3,sensor,8753,2.8828465938568115,5.433021545410156
L_T4,sensor,8758,2.0021328926086426,4.690665245056152
L_T5,sensor,8757,1.293241262435913,4.162725925445557
L_T6,sensor,4179,4.824605464935303,5.5
L_T7,sensor,8752,1.0541938543319702,4.999618053436279
F_PU1,sensor,8743,85.49520111083984,122.70562744140625
S_PU1,actuator,1,1.0,1.0
F_PU2,sensor,6386,0.0,100.14067077636719
S_PU2,actuator,2,0.0,1.0
F_PU3,sensor,1,0.0,0.0
S_PU3,actuator,1,0.0,0.0
F_PU4,sensor,3695,0.0,38.296165466308594
S_PU4,actuator,2,0.0,1.0
F_PU5,sensor,1,0.0,0.0
S_PU5,actuator,1,0.0,0.0
F_PU6,sensor,17,0.0,37.808528900146484
S_PU6,actuator,2,0.0,1.0
F_PU7,sensor,7377,0.0,51.65851974487305
S_PU7,actuator,2,0.0,1.0
F_PU8,sensor,5193,0.0,39.133995056152344
S_PU8,actuator,2,0.0,1.0
F_PU9,sensor,1,0.0,0.0
S_PU9,actuator,1,0.0,0.0
F_PU10,sensor,7113,0.0,33.88804626464844
S_PU10,actuator,2,0.0,1.0
F_PU11,sensor,5,0.0,24.02596664428711
S_PU11,actuator,2,0.0,1.0
F_V2,sensor,6384,0.0,115.46707916259766
S_V2,actuator,2,0.0,1.0
P_J280,sensor,7258,2.9735054969787598,2.991267681121826
P_J269,sensor,8746,20.172508239746094,40.63428497314453
P_J300,sensor,8741,20.62990951538086,33.76383590698242
P_J256,sensor,8749,65.05962371826172,94.96125793457031
P_J289,sensor,8741,20.6901912689209,33.76383590698242
P_J415,sensor,8726,54.757198333740234,105.95182037353516
P_J302,sensor,8758,14.79716682434082,36.32594680786133
P_J306,sensor,8738,58.32539749145508,89.05398559570312
P_J307,sensor,8758,14.54195499420166,36.32594680786133
P_J317,sensor,8735,51.69707107543945,96.18045043945312
P_J14,sensor,8755,27.649677276611328,45.388145446777344
P_J422,sensor,8735,22.370065689086914,35.16172409057617
