variant,S,G,num_monitored,monitored_sensors,monitored_actuators,Precision,Recall,F1,eTaP,eTaR,eTaF1,FPA,Scen,TP,FP,TN,FN,system_total_alarm_rate,system_benign_alarm_rate,system_attack_alarm_rate,system_num_alarm_intervals,system_longest_alarm_interval,threshold_min,threshold_max,growth_cap_min,growth_cap_max,max_test_cusum_max
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.0,0.0,39,14,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,398328,51590,0.0,0.0,0.0,0,0,1e-06,1e-06,1e-06,1e-06,1e-06
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.0,0.1,39,14,25,11.382946276850681,70.8955223880597,19.616308755068328,10.315768717010535,91.9949774842379,18.55130464960698,74570.0,100.0,36575,284739,113589,15015,0.7141612471605937,0.7148355124420076,0.7089552238805971,84287,1151,1e-06,1e-06,1.1e-06,0.045542297011116506,0.045542297011116506
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.0,0.5,39,14,25,11.757207324152375,78.12560573754604,20.438589151650223,10.004403204331453,93.41771053125201,18.073280632604412,62517.0,100.0,40305,302506,95822,11285,0.7619410648162555,0.7594394569299673,0.7812560573754603,69786,1169,1e-06,1e-06,1.5e-06,0.22770748505558253,0.22770748505558253
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.0,1.0,39,14,25,11.96458124646139,85.20062027524715,20.98260956736346,9.297582670180383,95.03237519782361,16.93801824138068,48193.0,100.0,43955,323421,74907,7635,0.8165399028267373,0.8119464361029102,0.8520062027524714,53006,1169,1e-06,1e-06,2e-06,0.455413970111165,0.455413970111165
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.0,1.5,39,14,25,12.22007188277578,88.24578406667959,21.467389382304468,8.604358687248325,95.42939034454544,15.78542946825769,45817.0,100.0,45526,327025,71303,6064,0.8280419987642192,0.8209942559900384,0.8824578406667959,49728,1176,1e-06,1e-06,2.4999999999999998e-06,0.6831204551667476,0.6831204551667476
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.0,2.0,39,14,25,12.369664353415953,90.48652839697617,21.76413407586816,8.03476107693698,95.82971413994915,14.826414047302297,43329.0,100.0,46682,330709,67619,4908,0.838799514578212,0.8302429153863148,0.9048652839697616,46568,1234,1e-06,1e-06,3e-06,0.9108269402223301,0.9108269402223301
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.0,2.5,39,14,25,12.521909651844101,92.08761387865866,22.0460382979612,7.450738212514081,96.02054157956627,13.828454036149457,42549.0,100.0,47508,331891,66437,4082,0.8432625500646784,0.83321031913398,0.9208761387865866,45329,1238,1e-06,1e-06,3.4999999999999995e-06,1.1385334252779125,1.1385334252779125
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.0,3.0,39,14,25,12.657291089877997,93.49098662531499,22.29603074995782,6.755350388693287,96.16436704696467,12.623897742729046,41907.0,100.0,48232,332829,65499,3358,0.8469565565280784,0.8355651623787431,0.9349098662531499,44270,1240,1e-06,1e-06,4e-06,1.366239910333495,1.366239910333495
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.0,3.5,39,14,25,12.750959338697603,94.42333785617367,22.467852332896705,6.202454039638238,96.21168838563716,11.653636131812894,41568.0,100.0,48713,333321,65007,2877,0.8491191728270485,0.8368003253600048,0.9442333785617367,43649,1240,1e-06,1e-06,4.5e-06,1.5939463953890776,1.5939463953890776
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.0,4.0,39,14,25,12.82363421203184,95.15216127156427,22.60129698819727,5.645889178992734,96.25580613775485,10.66615452469428,41302.0,100.0,49089,333712,64616,2501,0.8508239279157536,0.8377819284609669,0.9515216127156426,43158,1240,1e-06,1e-06,4.9999999999999996e-06,1.8216528804446601,1.8216528804446601
