attack_id,start,end,affected_tags,in_scope_sensors,category,firing_sensors,detected,detection_delay_seconds
1,1738,2672,MV101,MV101,detection_failure,FIT101,True,6.0
2,3046,3490,P102,P102,direct_detected,P102,True,0.0
3,4901,5282,LIT101,LIT101,direct_detected,LIT101,True,74.0
4,7233,7431,AIT202,,scope_miss,,False,
5,7685,8113,LIT301,LIT301,direct_detected,LIT301,True,0.0
6,11385,12355,DPIT301,DPIT301,detection_failure,"FIT301,LIT401,FIT601,MV302,P602",True,53.0
7,15361,16083,FIT401,,collateral_detected,"FIT502,FIT504,PIT503,P402",True,166.0
8,90662,90917,MV304,MV304,detection_failure,,False,
9,93424,93705,LIT301,LIT301,direct_detected,LIT301,True,15.0
10,103092,103797,MV303,MV303,detection_failure,,False,
11,115822,116080,AIT504,AIT504,detection_failure,,False,
12,116123,116515,AIT504,AIT504,direct_detected,AIT504,True,392.0
13,116999,117700,LIT101,LIT101,direct_detected,LIT101,True,0.0
14,132896,133362,"UV401,AIT502",UV401,direct_detected,"FIT502,FIT504,PIT503,UV401,P501",True,3.0
15,142927,143611,DPIT301,DPIT301,detection_failure,LIT401,True,56.0
16,172268,172588,"P203,P205","P203,P205",detection_failure,"P204,P206",True,0.0
17,172892,173499,LIT401,LIT401,direct_detected,LIT401,True,0.0
18,198273,199716,"P101,LIT301","P101,LIT301",direct_detected,"LIT301,P102",True,0.0
19,227828,228361,LIT401,LIT401,direct_detected,LIT401,True,0.0
20,229519,263727,P302,P302,detection_failure,"LIT401,FIT501,FIT502,PIT503,P402,UV401,P501",True,2243.0
21,280023,281184,"P101,MV201,LIT101","P101,MV201,LIT101",direct_detected,"LIT101,FIT201,P102",True,0.0
22,302653,303019,LIT401,LIT401,direct_detected,LIT401,True,0.0
23,347718,348315,LIT301,LIT301,direct_detected,LIT301,True,0.0
24,361243,361674,LIT101,LIT101,direct_detected,LIT101,True,0.0
25,371519,371618,P101,P101,detection_failure,P102,True,0.0
26,371893,372374,P101,P101,detection_failure,,False,
27,389746,390262,LIT101,LIT101,direct_detected,LIT101,True,0.0
28,436672,437046,FIT502,FIT502,detection_failure,"FIT504,PIT503",True,0.0
29,437455,437735,"AIT402,AIT502",,scope_miss,,False,
30,438184,438583,"FIT401,AIT502",,collateral_detected,PIT503,True,58.0
31,438659,438955,FIT401,,collateral_detected,"FIT502,FIT504,PIT503,UV401,P501",True,3.0
32,443540,445191,LIT301,LIT301,direct_detected,LIT301,True,23.0
