config,target,variable_type,target_mode,equation,sympy_format,complexity,loss,score,holdout_r2,holdout_mae,baseline_holdout_mae,residual_tail_ratio,residual_p99,residual_median,selection_reason,pareto_csv,removed_filter
FULL_no_holdout_quality_gate,FIT101,sensor,sensors_delta_actuators_next,(LIT101 * -5.3608805e-5) + 0.031951737,0.031951737 + LIT101*(-5.3608805e-5),5.0,0.0019383256,0.0090925761983508,-0.02073055819816272,0.01737185134750769,0.01442846146709288,4.142017125521039,0.054797493175494545,0.013229663595029528,highest_score_among_stable_candidates_no_holdout_quality_gate,artifacts/swat_1sec/delta_full/pareto_fronts/FIT101_sensors_delta_actuators_next/pareto_front_scored.csv,holdout_r2_or_mae_improvement_gate
FULL_no_holdout_quality_gate,LIT101,sensor,sensors_delta_actuators_next,(FIT201 - FIT101) * -0.19228067,(-FIT101 + FIT201)*(-0.19228067),5.0,0.10320193,0.2144737682430449,0.40181479216081095,0.25177445344391775,0.32104322830354326,4.537950991815633,0.9016307953144708,0.1986867634623195,highest_score_among_stable_candidates_no_holdout_quality_gate,artifacts/swat_1sec/delta_full/pareto_fronts/LIT101_sensors_delta_actuators_next/pareto_front_scored.csv,holdout_r2_or_mae_improvement_gate
FULL_no_holdout_quality_gate,AIT202,sensor,sensors_delta_actuators_next,((AIT203 * ((AIT203 * -2.9803743e-7) + 0.00024087902)) + -0.046792872) * 0.7563125,(AIT203*(0.00024087902 + AIT203*(-2.9803743e-7)) - 0.046792872)*0.7563125,11.0,3.509001e-06,0.0248084666518404,-0.08188366376518053,0.00041786924901103127,0.00024098340429440894,17.023875486931022,0.004414403310989569,0.0002593066023290902,highest_score_among_stable_candidates_no_holdout_quality_gate,artifacts/swat_1sec/delta_full/pareto_fronts/AIT202_sensors_delta_actuators_next/pareto_front_scored.csv,holdout_r2_or_mae_improvement_gate
FULL_no_holdout_quality_gate,AIT203,sensor,sensors_delta_actuators_next,(AIT202 * 0.56930953) + -4.7756815,AIT202*0.56930953 - 4.7756815,5.0,0.02055025,0.0504519961938059,-0.04225013033804492,0.028181501870455265,0.014415639858053188,19.940920738595274,0.41693089875923306,0.020908307305603557,highest_score_among_stable_candidates_no_holdout_quality_gate,artifacts/swat_1sec/delta_full/pareto_fronts/AIT203_sensors_delta_actuators_next/pareto_front_scored.csv,holdout_r2_or_mae_improvement_gate
FULL_no_holdout_quality_gate,FIT201,sensor,sensors_delta_actuators_next,FIT301 * 0.0019161832,FIT301*0.0019161832,3.0,0.0019663388,0.0034152873070653,-0.028412093537082406,0.004731323019693803,0.001505595491813952,1.72743861513076,0.007326868336467118,0.004241463790545463,highest_score_among_stable_candidates_no_holdout_quality_gate,artifacts/swat_1sec/delta_full/pareto_fronts/FIT201_sensors_delta_actuators_next/pareto_front_scored.csv,holdout_r2_or_mae_improvement_gate
FULL_no_holdout_quality_gate,DPIT301,sensor,sensors_delta_actuators_next,P302 - ((FIT301 * 0.4284513) - -1.027144),P302 - (FIT301*0.4284513 - 1*(-1.027144)),7.0,0.062951304,0.0670830810384025,0.43800956563704907,0.04490183807994379,0.03160361177428164,25.153209621175467,0.6406214681086717,0.02546877626183175,highest_score_among_stable_candidates_no_holdout_quality_gate,artifacts/swat_1sec/delta_full/pareto_fronts/DPIT301_sensors_delta_actuators_next/pareto_front_scored.csv,holdout_r2_or_mae_improvement_gate
FULL_no_holdout_quality_gate,FIT301,sensor,sensors_delta_actuators_next,MV303 * -0.0026802947,MV303*(-0.0026802947),3.0,0.002579072,0.0013563409974423,-0.010334711974421706,0.005001876916986988,0.002717882097431228,19.166696097155796,0.05137239396572113,0.0026802947000001964,highest_score_among_stable_candidates_no_holdout_quality_gate,artifacts/swat_1sec/delta_full/pareto_fronts/FIT301_sensors_delta_actuators_next/pareto_front_scored.csv,holdout_r2_or_mae_improvement_gate
FULL_no_holdout_quality_gate,LIT301,sensor,sensors_delta_actuators_next,(FIT301 - FIT201) * -0.18929929,(-FIT201 + FIT301)*(-0.18929929),5.0,0.0704299,0.2234497649346551,0.336680080211637,0.20342873885305443,0.24172245834812975,4.001021228958368,0.6598674766286408,0.16492476267126222,highest_score_among_stable_candidates_no_holdout_quality_gate,artifacts/swat_1sec/delta_full/pareto_fronts/LIT301_sensors_delta_actuators_next/pareto_front_scored.csv,holdout_r2_or_mae_improvement_gate
FULL_no_holdout_quality_gate,AIT401,sensor,sensors_delta_actuators_next,(FIT301 * (MV304 * (MV304 * 1.11552225e-7))) * AIT401,FIT301*MV304*MV304*1.11552225e-7*AIT401,9.0,2.4062217e-06,6.96686927538211e-05,-0.0007011429606935682,0.0001131450053440082,8.055931630760733e-05,4.054639083289264,0.00014896915232043284,3.67404223311496e-05,highest_score_among_stable_candidates_no_holdout_quality_gate,artifacts/swat_1sec/delta_full/pareto_fronts/AIT401_sensors_delta_actuators_next/pareto_front_scored.csv,holdout_r2_or_mae_improvement_gate
FULL_no_holdout_quality_gate,LIT401,sensor,sensors_delta_actuators_next,(DPIT301 * 0.022688651) - 0.38223073,DPIT301*0.022688651 - 1*0.38223073,5.0,0.06290693,0.1876915796846415,0.2947958211021037,0.18950348654315063,0.22179053905756788,3.951397925657353,0.6265356596919706,0.15856050731406413,highest_score_among_stable_candidates_no_holdout_quality_gate,artifacts/swat_1sec/delta_full/pareto_fronts/LIT401_sensors_delta_actuators_next/pareto_front_scored.csv,holdout_r2_or_mae_improvement_gate
