attack_id,start,end,affected_tags,in_scope_variables,category,firing_variables,detected,detection_delay_seconds
1,5139,6619,1_MV_001_STATUS,1_MV_001_STATUS,detection_failure,,False,
2,59069,59613,1_FIT_001_PV,1_FIT_001_PV,direct_detected,1_FIT_001_PV,True,234.0
3,61058,61622,2_MV_003_STATUS,2_MV_003_STATUS,direct_detected,2_LT_002_PV,True,365.0
4,61667,61936,1_AIT_001_PV,,collateral_detected,2_LT_002_PV,True,0.0
5,63046,63891,"2_MCV_101_CO,2_MCV_201_CO,2_MCV_301_CO,2_MCV_401_CO,2_MCV_501_CO,2_MCV_601_CO",,scope_miss,,False,
6,70795,71458,"2_FIC_101_PV,2_FIC_201_PV","2_FIC_101_PV,2_FIC_201_PV",detection_failure,,False,
7,74828,75592,"1_AIT_002_PV,2_MV_003_STATUS","1_AIT_002_PV,2_MV_003_STATUS",direct_detected,1_AIT_002_PV,True,28.0
8,85239,85779,2_MCV_007_CO,2_MCV_007_CO,direct_detected,"2_MCV_007_CO,PLANT_START_STOP_LOG",True,0.0
9,147297,147380,1_P_006_STATUS,1_P_006_STATUS,direct_detected,1_P_006_STATUS,True,0.0
10,148657,149479,1_MV_001_STATUS,1_MV_001_STATUS,direct_detected,"1_FIT_001_PV,2_FIT_001_PV,1_MV_001_STATUS,1_P_001_STATUS,1_P_003_STATUS,1_P_005_STATUS,2_MV_003_STATUS",True,33.0
11,149793,150417,2_MCV_007_CO,2_MCV_007_CO,direct_detected,"2_MCV_007_CO,PLANT_START_STOP_LOG",True,0.0
12,151132,151508,2_MCV_007_CO,2_MCV_007_CO,direct_detected,"2_FIT_003_PV,2_MCV_007_CO,PLANT_START_STOP_LOG",True,0.0
13,151661,151853,"2_PIC_003_CO,2_PIC_003_SP",2_PIC_003_CO,detection_failure,,False,
14,152174,152742,"1_P_001_STATUS,1_P_003_STATUS","1_P_001_STATUS,1_P_003_STATUS",detection_failure,,False,
15,163804,164221,2_MV_003_STATUS,2_MV_003_STATUS,direct_detected,2_LT_002_PV,True,0.0
