variant,target,variable_type,source,S,G,complexity,equation,holdout_r2,residual_tail_ratio,delta,threshold,growth_cap,max_train_cusum,max_test_cusum,total_alarm_rate,benign_alarm_rate,attack_alarm_rate,num_alarm_intervals,longest_alarm_interval
geco_matched_plus_actuator_persistence,1_AIT_002_PV,sensor,selected_sensor_delta,1.0,2.0,5.0,0.015316334 - (1_AIT_002_PV * 0.024466293),0.0119052665651211,41.73000224731814,0.016198173266754025,4.586298998857225,4.618695345390733,4.586298998857225,4.618695345390733,0.004276620370370371,0.0002578300531621014,0.07038982023833569,1,739
geco_matched_plus_actuator_persistence,1_AIT_004_PV,sensor,selected_sensor_delta,1.0,2.0,3.0,3_AIT_004_PV * -5.4525193e-5,-0.0001992524296718,4.910153218946012,2.8444196394286245,1020.1316847339061,1025.8205240127634,1020.1316847339061,933.8179709712217,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,1_AIT_005_PV,sensor,selected_sensor_delta,1.0,2.0,5.0,(1_FIT_001_PV - 1_AIT_002_PV) * -3.9571616e-5,0.0023463384738832,12.40172474664917,0.0005404796966590669,0.06749613716547519,0.06857709655879332,0.06749613716547519,0.040270004949606274,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,1_FIT_001_PV,sensor,selected_sensor_delta,1.0,2.0,7.0,((1_LT_001_PV * 1_P_001_STATUS) * -0.0001994969) + 0.014458983,-0.0179323441933463,11.85813818130814,0.03840313085817598,6.9392831132583845,7.016089374974737,6.9392831132583845,7.016089374974737,0.00140625,1.8416432368721532e-05,0.024237527772167238,83,3
geco_matched_plus_actuator_persistence,1_LS_001_AL,sensor,selected_sensor_delta,1.0,2.0,3.0,0.030378316 - 0.030378316,,0.0,1e-06,1e-06,3e-06,0.0,0.0,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,1_LS_002_AL,sensor,selected_sensor_delta,1.0,2.0,3.0,-0.021763658 - -0.021763658,,0.0,1e-06,1e-06,3e-06,0.0,0.0,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,2_DPIT_001_PV,sensor,selected_sensor_delta,1.0,2.0,3.0,88.35751 - 2_PIT_002_PV,0.008482119469839,9.66778276190117,43.256756319788046,6493.528032513559,6580.041545153135,6493.528032513559,6580.041545153135,0.00011574074074074075,0.00012277621579147687,0.0,1,20
geco_matched_plus_actuator_persistence,2_FIC_101_CO,sensor,selected_sensor_delta,1.0,2.0,3.0,2_FQ_101_PV * -0.3397043,0.0150389194041339,34.150938108826395,0.5275863868982411,98.39641488030075,99.45158765409724,98.39641488030075,80.61268401614372,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,2_FIC_101_PV,sensor,selected_sensor_delta,1.0,2.0,3.0,2_FIC_101_PV * -0.016046675,0.002252916125048,18.49348773225588,0.02979673568732669,5.605347951880746,5.664941423255399,5.605347951880746,3.974709597218389,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,2_FIC_101_SP,sensor,selected_sensor_delta,1.0,2.0,15.0,((2_MV_003_STATUS - 1_MV_001_STATUS) * (2_FIC_201_PV * (3_AIT_001_PV * 2_P_004_SPEED))) * (2.3499095 * (2_MV_009_STATUS - 2_MV_003_STATUS)),-9.112138177336249e-08,0.0,0.0017891865730764527,0.836514554045808,0.8400929271919609,0.836514554045808,0.28821081253285386,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,2_FIC_201_CO,sensor,selected_sensor_delta,1.0,2.0,3.0,2_FQ_201_PV * -0.25967506,0.0115003398980684,41.3791240636834,0.37493504907663644,94.24273049171381,94.99260058986708,94.24273049171381,94.99260058986708,0.00017361111111111112,0.0001841643236872153,0.0,10,3
geco_matched_plus_actuator_persistence,2_FIC_201_PV,sensor,selected_sensor_delta,1.0,2.0,7.0,(2_FQ_201_PV * 2_FIC_401_PV) * (-0.04007296 - 2_LS_201_AH),0.0034190508627743,39.845894609586814,0.020632148889052914,8.230942459698692,8.272206757476798,8.230942459698692,4.876911715521573,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,2_FIC_201_SP,sensor,selected_sensor_delta,1.0,2.0,11.0,((2_MV_003_STATUS - 1_P_005_STATUS) * ((2_P_004_SPEED * 3_AIT_001_PV) * 1_FIT_001_PV)) * 2_MV_101_STATUS,-2.3749495703384582e-09,0.0,0.0016237224631009655,0.3183762629337611,0.321623707859963,0.3183762629337611,0.2383762870736422,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,2_FIC_301_PV,sensor,selected_sensor_delta,1.0,2.0,3.0,2_FIC_601_PV * -0.009515096,-0.0036792547368171,17.746108309561812,0.020480065128239675,4.970382824452958,5.011342954709438,4.970382824452958,5.011342954709438,2.8935185185185186e-05,3.069405394786922e-05,0.0,2,3
geco_matched_plus_actuator_persistence,2_FIC_301_SP,sensor,selected_sensor_delta,1.0,2.0,13.0,1_FIT_001_PV * ((((4.6891226e-5 * 2_FIC_301_CO) * 2_LS_201_AH) * 4.6891226e-5) * (2_FIC_501_CO * 3_AIT_004_PV)),-0.0308985748156576,0.0,0.002078101798552482,0.9619526404002053,0.9661088439973103,0.9619526404002053,0.25792190356586553,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,2_FIC_401_CO,sensor,selected_sensor_delta,1.0,2.0,3.0,2_FQ_401_PV * -0.28900453,0.0068262290096441,31.49156173004372,0.5152049430767641,82.70959778401438,83.74000767016791,82.70959778401438,83.74000767016791,0.00019675925925925926,0.0002087195668455107,0.0,14,3
geco_matched_plus_actuator_persistence,2_FIC_401_PV,sensor,selected_sensor_delta,1.0,2.0,9.0,2_FQ_401_PV * (((2B_AIT_001_PV * 2_FIC_501_SP) + -0.073952936) * 2_FIC_401_PV),-0.0136811757617747,42.44627371380358,0.030358977164082257,7.27578752573929,7.336505480067454,7.27578752573929,5.517591368486072,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,2_FIC_401_SP,sensor,selected_sensor_delta,1.0,2.0,11.0,(3_AIT_001_PV * ((3_FIT_001_PV + -0.5745507) * (1_P_005_STATUS - 2_MV_003_STATUS))) * 1_FIT_001_PV,-2.5924091762163926e-09,0.0,0.001662038620217033,0.527161375735095,0.5304854529755291,0.527161375735095,0.24833797628094417,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,2_FIC_501_PV,sensor,selected_sensor_delta,1.0,2.0,3.0,2_FIC_501_PV * -0.019195596,-0.0080578702045512,13.110728544786658,0.023499944593588378,5.65539790751458,5.7023977967017565,5.65539790751458,5.7023977967017565,3.472222222222222e-05,3.6832864737443065e-05,0.0,2,3
geco_matched_plus_actuator_persistence,2_FIC_601_CO,sensor,selected_sensor_delta,1.0,2.0,3.0,2_FQ_601_PV * -0.33139205,-0.0036177276086308,38.05090530847815,0.3690366250044411,105.04829529546862,105.7863685454775,105.04829529546862,100.55624201774286,0.0,0.0,0.0,0,0
